hu;titulo_projeto;classificacao_institucional_pesquisa;envolve_seres_humanos;delineamento_estudo;tipo_estudo;eh_estudo_multicentrico;eh_projeto_com_coparticipacao;estado_projeto;tempo_decorrido_entre_status_1;tempo_decorrido_entre_status_2
HU-UFPI;Rastreio da Doença Renal Crônica em indivíduos adultos que aguardavam consulta na recepção do ambulatório geral do HUUFPI: Análise Comparativa entre Métodos Capilar e Laboratorial da dosagem da Creatinina sérica e Impacto das Comorbidades.;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Carta de anuência assinada;Pendente;Pendente
HU-UFPI;QUESTIONÁRIO DE ADESÃO AO TRATAMENTO PRÉ-BARIÁTRICA: DESENVOLVIMENTO E ANÁLISES PSICOMÉTRICAS;Pesquisa Acadêmica;True;Transversal;Psicométrico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;Proposta de Interface de Interação para Assistente Virtual Ginecológica Desenvolvimento de Chat e Avatar para Saúde da Mulher no Hospital Universitário da Universidade Federal do Piauí;Pesquisa Acadêmica;True;Desenvolvimento de interface de assistente virtual;Desenvolvimento/Avaliação;False;False;Em ajuste para autorização do setor responsável;Pendente;Pendente
HU-UFPI;PREVALÊNCIA E FATORES ASSOCIADOS A ALTERAÇÕES CITOLÓGICAS ANAIS EM PACIENTES SUBMETIDOS À EXÉRESE DA ZONA DE TRANSFORMAÇÃO (EZT).;Pesquisa Acadêmica;True;Transversal;Desenvolvimento/Avaliação;False;False;Projeto aprovado;95;133
HU-UFPI;PREVALÊNCIA DE SINTOMAS AUTO-REFERIDOS DE DISFUNCŌES TEMPOROMANDIBULARES E FATORES ASSOCIADOS AO PERÍODO DE RESIDÊNCIA UNIPROFISSIONAL E MÉDICA NO HU/UFPI;ESTUDO TRANSVERSAL;True;Transversal;Observacional/Epidemiológico;False;False;Em ajuste pelo pesquisador;Pendente;Pendente
HU-UFPI;ANÁLISE BIOMECÂNICA DO QUADRIL HUMANO SAUDÁVEL DURANTE ACOMODAÇÃO EM REDES DE DESCANSO PARA APLICAÇÃO NO CONTEXTO PÓS-OPERATÓRIO DE ARTROPLASTIA DE QUADRIL;Pesquisa Acadêmica;True;Experimental;Experimental não-clínico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;ANALGESIA PRÉ-OPERATÓRIA VERSUS ANALGESIA PÓS -OPERATÓRIA COM INFILTRAÇÃO DE ANASTÉSICO LOCAL EM INCISÕES CIRÚRGICAS DE COLECISTECTOMIA VIDEOLAPAROSCÓPICA;Pesquisa Acadêmica;True;ensaio clinico;Experimental/Clínico;True;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;ALTERAÇÕES CARDIOVASCULARES EM PACIENTES COM CÂNCER DE MAMA SUBMETIDOS A TRATAMENTO COM ANTRACÍCLICOS OU TRASTUZUMABE EM HOSPITAL TERCIÁRIO DE TERESINA-PI;Pesquisa Acadêmica;True;Coorte;Observacional/Epidemiológico;False;False;Projeto aprovado;15;29
HU-UFPI;A IDENTIFICAÇÃO DAS PRINCIPAIS BARREIRAS À MOBILIZAÇÃO PRECOCE PERCEBIDAS PELA EQUIPE MULTIPROFISSIONAL DE UMA UNIDADE DE TERAPIA INTENSIVA (UTI) EM UM HOSPITAL UNIVERSITÁRIO;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Projeto aprovado;225;332
HU-UFPI;ACOMPANHAMENTO DE PACIENTES COM ARTRITE REUMATOIDE EM TRATAMENTO COM TOCILIZUMABE;Desenvolvimento tecnológico;True;Coorte;Observacional/Epidemiológico;True;True;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;ACHADOS DE IMAGEM NA TOMOGRAFIA COMPUTADORIZADA DE TÓRAX EM PACIENTES COM COVID-19 E CORRELAÇÃO COM DESFECHO CLÍNICO;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Projeto aprovado;98;136
HU-UFPI;Acesso à reabilitação após acidente vascular cerebral no Brasil: estudo multicêntrico, retrospectivo;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;True;True;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;.;Pesquisa Acadêmica;True;a;Ciências Sociais e Humanas e Aplicadas em Saúde;False;False;Projeto inativo;Pendente;Pendente
HU-UFPI;PERCEPÇÃO DO CUIDADO DE ENFERMAGEM ADVINDA DA INSERÇÃO DE ESPECIALISTAS NO MERCADO DE TRABALHO;Pesquisa Acadêmica;True;Levantamento de campo;Pesquisa descritiva-exploratória;False;False;Em ajuste para autorização do setor responsável;Pendente;Pendente
HU-UFPI;O PAPEL DAS CIRURGIAS PALIATIVAS NO CÂNCER BILIOPANCREÁTICO NO HOSPITAL UNIVERSITÁRIO DA UNIVERSIDADE FEDERAL DO PIAUÍ;Pesquisa Acadêmica;True;Transversal;Analítico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;O IMPACTO DA PANDEMIA PELO CORONAVÍRUS (COVID-19) NA SAÚDE MENTAL DOS PROFISSIONAIS DE SAÚDE DE UM HOSPITAL DE REFERÊNCIA PARA COVID 19;Pesquisa Acadêmica;True;Transversal;Ciências Sociais e Humanas e Aplicadas em Saúde;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;LEVANTAMENTO EPIDEMIOLÓGICO DO USO DE SISTEMAS DE FIXAÇÃO PELA CIRURGIA E TRAUMATOLOGIA BUCO-MAXILO-FACIAIS NO HOSPITAL UNIVERSITÁRIO – UFPI;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;LEVANTAMENTO EPIDEMIOLÓGICO DOS CARCINOMAS ORAIS DIAGNOSTICADOS NO SETOR DE CABEÇA E PESCOÇO DO HOSPITAL UNIVERSITÁRIO – UFPI;Levantamento epidemiológico de laudos histopatológicos;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;ANÁLISE DO PERFIL DE PACIENTES TRAQUEOSTOMIZADOS E DO PROCESSO DE DECANULAÇÃO DE UM HOSPITAL PÚBLICO;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Projeto aprovado;141;224
HU-UFPI;Análise de dados de Gestão de Hospitais Universitários e Economia da Saúde no Brasil;Desenvolvimento tecnológico;True;Estudo de caso;As informações solicitadas serão relacionadas à cu;False;False;Em ajuste pelo pesquisador;Pendente;Pendente
HU-UFPI;ANÁLISE DA SOBREVIDA DE PACIENTES SUBMETIDOS À CIRURGIA DE WHIPPLE EM HOSPITAL UNIVERSITÁRIO DO PIAUÍ;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;ANÁLISE DA SOBREVIDA DE PACIENTES SUBMETIDOS À CIRURGIA DE HEPATECTOMIA EM UM HOSPITAL UNIVERSITÁRIO DO PIAUÍ;Pesquisa Acadêmica;True;Coorte;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;Análise das alterações clínicas e histopatológicas do Refluxo Gastroesofágico Pós-Gastrectomia Vertical;Pesquisa Acadêmica;True;Prospectivo observacional;Observacional/Epidemiológico;False;False;Em cadastramento;Pendente;Pendente
HU-UFPI;ANÁLISE DA MICROBIOLOGIA DA BILE DE PACIENTES SUBMETIDOS À DESOBSTRUÇÃO CIRÚRGICA DAS VIAS BILIARES NO HOSPITAL UNIVERSITÁRIO DA UNIVERSIDADE FEDERAL DO PIAUÍ;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;ANÁLISE DA INDICAÇÃO DE TRANSFUSÕES DE HEMÁCIAS EM UM HOSPITAL DA REDE PÚBLICA EM TERESINA-PI;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Em ajuste pelo pesquisador;Pendente;Pendente
HU-UFPI;ANÁLISE DA ADESÃO AO MANUAL DE ANTIBIOTICOPROFILAXIA CIRÚRGICA NA PREVENÇÃO DE INFECÇÃO EM SÍTIO CIRÚRGICO EM UM HOSPITAL UNIVERSITÁRIO;Pesquisa Acadêmica;True;Coorte;Observacional/Epidemiológico;False;False;Projeto aprovado;114;177
HU-UFPI;"""ANÁLISE DA ADESÃO AO MANUAL DE ANTIBIOTICOPROFILAXIA CIRÚRGICA NA PREVENÇÃO DE INFECÇÃO EM SÍTIO CIRÚRGICO EM UM HOSPITAL UNIVERSITÁRIO""";Pesquisa Acadêmica;True;Coorte;Observacional/Epidemiológico;False;False;Projeto aprovado;0;191
HU-UFPI;ANÁLISE COMPARATIVA DE ACINESIA E ANALGESIA PÓS OPERATÓRIA DE BLOQUEIO OFTÁLMICO EM PACIENTES SUBMETIDOS A CIRURGIA DE CATARATA;Pesquisa Acadêmica;True;Ensaio clínico randomizado;Experimental/Clínico;False;False;Em ajuste pelo pesquisador;Pendente;Pendente
HU-UFPI;AVALIAÇÃO DA QUALIDADE EM COLONOSCOPIA E TAXA DE DETECÇÃO DE ADENOMAS EM HOSPITAL UNIVERSITÁRIO;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;Avaliação da qualidade de vida e prognóstico dos pacientes com angina pectoris tratados de acordo com as orientações de cardiologistas ambulatoriais da A.R.C.A. (Associações Regionais de Cardiologistas Ambulatoriais) Um registro multicêntrico, prospectivo e observacional.;Pesquisa Clínica Multicêntrica;True;Multicêntrico, prospectivo e observacional;Pesquisa clínica;True;True;Projeto aprovado;76;111
HU-UFPI;AVALIAÇÃO DA IMPLANTAÇÃO DO HOSPITAL-DIA NO MANEJO CLÍNICO DE PACIENTES COM NEFRITE LÚPICA EM PULSOTERAPIA NO HOSPITAL UNIVERSITÁRIO DA UFPI;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;AVALIAÇÃO DA FUNÇÃO PULMONAR DE INDIVÍDUOS EM PÓS-OPERATÓRIO DE ARTRODESE DA COLUNA SUBMETIDOS À TERAPIA COM PRESSÃO POSITIVA;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;True;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;AVALIAÇÃO DA ADEQUAÇÃO DA TERAPIA NUTRICIONAL ENTERAL E DO ESTADO NUTRICIONAL EM UMA UNIDADE DE TERAPIA INTENSIVA;Pesquisa Acadêmica;True;Transversal;Desenvolvimento/Avaliação;False;False;Projeto inativo;Pendente;Pendente
HU-UFPI;Avaliação da acurácia na punção ecoendoscópica para o diagnóstico das lesões sólidas pancreáticas em Hospital Universitário;Pesquisa Acadêmica;True;Retrospectivo;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;AVALIAÇÃO CLÍNICA DE BOCHECHOS COM FRAÇÕES HIDROALCÓOLICOS DE ROMÃ (PUNICA GRANATUM L) PARA SAÚDE PERIODONTAL E RELAÇÕES ESTOMACAIS EM MULHERES ATENDIDAS NO HOSPITAL UNIVERSITÁRIO EM TERESINA-P;Pesquisa Acadêmica;True;Transversal;Experimental/Clínico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;ATUAÇÃO DO PSICÓLOGO HOSPITALAR JUNTO AO PACIENTE ACOMETIDO POR TRAUMATISMO RAQUIMEDULAR: proposta de protocolo de assistência psicológica em UTI;Pesquisa Acadêmica;True;Transversal;Ciências Sociais e Humanas e Aplicadas em Saúde;False;False;Projeto inativo;Pendente;Pendente
HU-UFPI;ASSOCIAÇÃO ENTRE AS COMORBIDADES E O TEMPO DE INTERNAÇÃO DOS CASOS DE COVID-19 EM UM HOSPITAL UNIVERSITÁRIO DO NORDESTE;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Projeto inativo;Pendente;Pendente
HU-UFPI;ANSIEDADE, DEPRESSÃO E RISCO DE SUICÍDIO ENTRE TRABALHADORES DA SAÚDE EM TEMPOS DE PANDEMIA DA COVID-19.;Pesquisa de Mestrado;True;Transversal;Observacional/Epidemiológico;False;False;Projeto aprovado;49;58
HU-UFPI;ANSIEDADE, DEPRESSÃO E RISCO DE SUICÍDIO ENTRE TRABALHADORES DA SAÚDE EM TEMPOS DE PANDEMIA DA COVID-19;Pesquisa de Mestrado;True;Transversal;Observacional/Epidemiológico;False;False;Projeto inativo;Pendente;Pendente
HU-UFPI;ANÁLISE DO PERFIL E DESFECHOS CLÍNICOS EM PACIENTES SUBMETIDOS A CIRURGIA CARDÍACA EM UM HOSPITAL UNIVERSITÁRIO;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;AVALIAÇÃO DOS FATORES DE RISCO PARA COMPLICAÇÕES PÓS-OPERATÓRIAS EM PACIENTES COM DOENÇA DE CROHN SUBMETIDOS A CIRURGIA ABDOMINAL EM UM HOSPITAL UNIVERSITÁRIO DO PIAUÍ;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Projeto inativo;Pendente;Pendente
HU-UFPI;AVALIAÇÃO DO NÍVEL DE FUNCIONALIDADE DE PACIENTES PÓS COVID-19 ATRAVÉS DO TESTE DE CAMINHADA DE 6 MINUTOS.;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Projeto inativo;Pendente;Pendente
HU-UFPI;AVALIAÇÃO DO ESTILO DE VIDA DOS MÉDICOS RESIDENTES DO HOSPITAL UNIVERSITÁRIO DA UNIVERSIDADE FEDERAL DO PIAUÍ;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;AVALIAÇÃO DO CONHECIMENTO DE MÉDICOS NÃO OFTALMOLOGISTAS SOBRE O PROCESSO DE DOAÇÃO DE CÓRNEA;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Projeto inativo;Pendente;Pendente
HU-UFPI;AVALIAÇÃO DE SÍNDROME DE FRAGILIDADE EM IDOSOS ATENDIDOS NO AMBULATÓRIO DE CUIDADOS PALIATIVOS NO HOSPITAL UNIVERSITÁRIO DA UFPI;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;True;False;Projeto inativo;Pendente;Pendente
HU-UFPI;AVALIAÇÃO DE RISCOS PARA O DESENVOLVIMENTO DE LESÕES DECORRENTES DO POSICIONAMENTO CIRÚRGICO EM DIFERENTES CONTEXTOS HOSPITALARES;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;True;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;AVALIAÇÃO DE MARGENS CIRÚRGICAS DE TUMORES DE PELE NÃO MELANOMA EM UM HOSPITAL UNIVERSITÁRIO;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;AVALIAÇÃO DE ARRITMIAS CARDÍACAS E DISTÚRBIOS DE CONDUÇÃO CARDÍACOS ATRAVÉS DA UTILIZAÇÃO DO SMARTWATCH (Apple Watch®) EM PACIENTES COM DOENÇA CARDIOVASCULAR;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Projeto aprovado;15;29
HU-UFPI;Avaliação das alterações dos hormônios tireoidianos em pacientes com Sangramento Uterino Anormal (SUA) no Hospital Universitário da Universidade Federal do Piauí campus Teresina Uterino Anormal (SUA) no Hospital Universitário da Universidade Federal do Piauí.;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando autorização do setor responsável;Pendente;Pendente
HU-UFPI;AVALIAÇÃO DA RESPOSTA AO TRATAMENTO DE PACIENTES COM NEFRITE LÚPICA PROLIFERATIVA EM RELAÇÃO AO INTERVALO DE ADMINISTRAÇÃO DE CICLOFOSFAMIDA EM UM HOSPITAL TERCIÁRIO;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Projeto aprovado;175;210
HU-UFPI;AVALIAÇÃO DA REPRODUTIBILIDADE E CONCORDÂNCIA INTRA E INTEROBSERVADORES DA CLASSIFICAÇÃO IDEAL PARA FRATURAS DE EXTREMIDADE DISTAL DE RÁDIO;Pesquisa Acadêmica;True;Analítico;Desenvolvimento/Avaliação;False;False;Projeto aprovado;33;62
HU-UFPI;CATETER CENTRAL DE INSERÇÃO PERIFÉRICA: ANÁLISE DO USO EM PACIENTES ADULTOS HOSPITALIZADOS;Pesquisa Acadêmica;True;Transversal;Transversal analítico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;casa da tia;Desenvolvimento tecnológico;True;Transversal;Observacional/Epidemiológico;False;False;Projeto inativo;Pendente;Pendente
HU-UFPI;CARACTERIZAÇÃO DAS REAÇÕES TRANSFUSIONAIS IMEDIATAS NO HOSPITAL UNIVERSITÁRIO DO PIAUÍ;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Em cadastramento;Pendente;Pendente
HU-UFPI;Caracterização das Reações Transfusionais Imediatas no Hospital Universitário do Piauí;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;Características pessoais e profissionais das mulheres na Cirurgia e Traumatologia Bucomaxilofacial;Pesquisa Acadêmica;True;Transversal;Ciências Sociais e Humanas e Aplicadas em Saúde;False;False;Em ajuste para autorização do setor responsável;Pendente;Pendente
HU-UFPI;CARACTERÍSTICAS CLÍNICAS, COINFECÇÃO E DESFECHO DE PACIENTES COM A COVID-19;Pesquisa Acadêmica;True;Caso-controle;Observacional/Epidemiológico;False;False;Em ajuste pelo pesquisador;Pendente;Pendente
HU-UFPI;CAPACIDADE FUNCIONAL DE MULHERES EM QUIMIOTERAPIA PALIATIVA POR NEOPLASIA MAMÁRIA EM HOSPITAL UNIVERSITÁRIO;Desenvolvimento tecnológico;True;Transversal;Observacional/Epidemiológico;False;False;Projeto inativo;Pendente;Pendente
HU-UFPI;CÂNCER DE PÂNCREAS: PRINCIPAIS ACHADOS TOMOGRÁFICOS, SUBTIPOS HISTOLÓGICOS E DESFECHOS CLÍNICOS;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Projeto inativo;Pendente;Pendente
HU-UFPI;BUSCA ATIVA DE REAÇÕES ADVERSAS A MEDICAMENTOS (RAM) EM UM HOSPITAL UNIVERSITÁRIO;Pesquisa Acadêmica;True;Estudo Longitudinal e Exploratório;Desenvolvimento/Avaliação;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;AVALIAÇÃO DOS FATORES PROGNÓSTICOS E ANÁLISE DE SOBREVIDA DOS PACIENTES COM ADENOCARCINOMA GÁSTRICO SUBMETIDOS À GASTRECTOMIA NO HOSPITAL UNIVERSITÁRIO DO PIAUÍ;Pesquisa Acadêmica;True;Coorte;coorte retrospectiva;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;Prevalência de síndrome de Burnout em psicólogos hospitalares e residentes de psicologia do Hospital Universitário-UFPI.;Pesquisa Acadêmica;True;Transversal;Ciências Sociais e Humanas e Aplicadas em Saúde;False;False;Em ajuste pelo pesquisador;Pendente;Pendente
HU-UFPI;PREVALÊNCIA DE LESÕES ATÍPICAS DE SUPERFÍCIE OCULAR EM HISTOPATOLÓGICO DE PACIENTES SUBMETIDOS A EXÉRESE DE PTERÍGIO;Projeto de pesquisa para conclusão de residência medica;True;Transversal;Observacional/Epidemiológico;False;True;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;PREVALÊNCIA DE INFECÇÕES FÚNGICAS EM PACIENTES ATENDIDOS EM UM HOSPITAL DE ALTA COMPLEXIDADE DO PIAUÍ.;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Projeto aprovado;202;211
HU-UFPI;PREVALÊNCIA DE ARRITMIAS E ALTERAÇÕES ELETROCARDIOGRÁFICAS EM PACIENTES COM DOENÇA RENAL CRÔNICA DIALÍTICA;Pesquisa Acadêmica;True;Coorte;Observacional/Epidemiológico;False;True;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;PREDIÇÃO DE DESFECHOS ADVERSOS GRAVES EM DOENÇAS INFLAMATÓRIAS INTESTINAIS UTILIZANDO INTELIGÊNCIA ARTIFICIAL COM REGISTROS DO HOSPITAL UNIVERSITÁRIO - UFPI;Desenvolvimento tecnológico;True;Transversal;Observacional/Epidemiológico;False;False;Projeto aprovado;121;144
HU-UFPI;POROCARCINOMA ÉCRINO ALTAMENTE RECIDIVANTE - UM RELATO DE CASO;Relato de caso;True;Estudo de caso;Ciências Sociais e Humanas e Aplicadas em Saúde;False;False;Em ajuste pelo pesquisador;Pendente;Pendente
HU-UFPI;PERFIL TERAPÊUTICO DOS PACIENTES COM ESCLEROSE MÚLTIPLA ATENDIDOS NO AMBULATÓRIO DE UM HOSPITAL UNIVERSITÁRIO;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;PERFIL DOS PROFISSIONAIS DE ENFERMAGEM DA UNIDADE DE TERAPIA INTENSIVA COLONIZADOS OU NÃO POR Staphylococcus aureus;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Projeto aprovado;40;86
HU-UFPI;PERFIL DOS PARECERES DA ENFERMAGEM EM ESTOMATERAPIA DE UM HOSPITAL UNIVERSITÁRIO DO NORDESTE BRASILEIRO;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;DEPRESSÃO, ANSIEDADE E ESTRESSE EM ANESTESIOLOGISTAS DURANTE A PANDEMIA DE COVID-19 NO BRASIL;Pesquisa Acadêmica;True;Transversal;Ciências Sociais e Humanas e Aplicadas em Saúde;True;True;Projeto aprovado;156;187
HU-UFPI;DADOS LABORATORIAIS PARA OTIMIZAÇÃO DE INTELIGÊNCIA COMPUTACIONAL DE AUXÍLIO AO DIAGNÓSTICO DE TUBERCULOSE;Desenvolvimento tecnológico;True;Transversal;Observacional/Epidemiológico;False;False;Em ajuste pelo pesquisador;Pendente;Pendente
HU-UFPI;CV-Genes Avaliação Do Impacto Do Componente Genético Como Fator De Risco Para Doença Cardiovascular Aterosclerótica Na População Brasileira;PESQUISA CLÍNICA;True;Caso-controle;Observacional/Epidemiológico;True;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;CUIDADOS PALIATIVOS: PERSPECTIVAS DE PACIENTES INTERNADOS NO HOSPITAL UNIVERSITÁRIO HU-UFPI;Pesquisa Acadêmica;True;Transversal;Ciências Sociais e Humanas e Aplicadas em Saúde;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;CORRELAÇÃO RADIOLÓGICA E PATOLÓGICA DE LESÕES PULMONARES SUBMETIDAS A BIÓPSIA;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;CORRELAÇÃO ENTRE TESTES SANGUÍNEOS E A ETIOLOGIA MALIGNA DA OBSTRUÇÃO DE VIAS BILIARES EXTRA-HEPÁTICAS;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;CORRELAÇÃO ENTRE HISTOLOGIA E CITOLOGIA DE NÓDULOS DE TIREÓIDE REALIZADAS EM UM HOSPITAL UNIVERSITÁRIO;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;CORRELAÇÃO CLÍNICA E ANATOMOPATOLÓGICA DOS PACIENTES COM ALOPECIA FRONTAL FIBROSANTE E LIQUEN PLANO PILAR: ESTUDO DE SÉRIE DE CASOS.;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;COMPLICAÇÕES PÓS-OPERATÓRIAS EM PACIENTES SUBMETIDOS A CIRURGIA BARIÁTRICA E FATORES ASSOCIADOS;Pesquisa Acadêmica;True;Descritivo retrospectivo;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
