Hospital Universitário (HU),Título do Projeto,Número do Projeto,Status do Projeto,Quem Fez,Quando Fez (Data/Hora),Duração,Status Onde Estava,Status O que Aconteceu
HU-UFPI,cuidado de enfermagem na deiscência de ferida operatória em esternotomia após cirurgia cardíaca: projeto de relato de caso,1478.0,Projeto aprovado,ANA LINA DE CARVALHO CUNHA SALES,28/12/2022 10:23:23,2 Dia(s) 2 Hr(s) 54 Min 8 Seg,Aguardando avaliação da GEP,Projeto aprovado
HU-UFPI,determinantes da infertilidade entre casais inférteis em hospital de ensino,1426.0,Projeto aprovado,JOSE MARIA CORREIA LIMA E SILVA,30/10/2023 08:17:54,10 Hr(s) 20 Min 8 Seg,Aguardando avaliação da GEP,Projeto aprovado
HU-UFPI,"digitalização dos serviços públicos, ambidestria e governança pública: evidências no hospital universitário federal do piauí",1383.0,Aguardando aprovação do CEP,CARLOS EDUARDO BATISTA DE LIMA,19/11/2021 11:58:51,16 Hr(s) 30 Min 54 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,valor prognóstico da tomografia computadorizada do tórax na avaliação prognóstica de pacientes internados com covid-19 em um hospital de alta complexidade no nordeste do brasil,1278.0,Aguardando aprovação do CEP,GINIVALDO VICTOR RIBEIRO DO NASCIMENTO,25/01/2022 12:40:31,1 Dia(s) 1 Hr(s) 37 Min 36 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,levantamento epidemiológico dos carcinomas orais diagnosticados no setor de cabeça e pescoço do hospital universitário – ufpi,1233.0,Aguardando aprovação do CEP,CARLOS EDUARDO BATISTA DE LIMA,19/11/2021 11:59:27,1 Dia(s) 20 Hr(s) 29 Min 32 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,achados de imagem na tomografia computadorizada de tórax em pacientes com covid-19 e correlação com desfecho clínico,1183.0,Projeto aprovado,GINIVALDO VICTOR RIBEIRO DO NASCIMENTO,02/10/2022 15:59,23 Hr(s) 37 Min 24 Seg,Aguardando avaliação da GEP,Projeto aprovado
HU-UFPI,avaliação dos achados radiográficos em radiografias panorâmicas dos maxilares realizadas no hospital universitário - ufpi,1148.0,Aguardando aprovação do CEP,CARLOS EDUARDO BATISTA DE LIMA,19/11/2021 11:59:14,1 Dia(s) 20 Hr(s) 29 Min 5 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,desenvolvimento e validação de bundle para controle de problemas relacionados a medicamentos associados à antibioticoterapia em um hospital universitário,2314.0,Aguardando aprovação do CEP,ANA LINA DE CARVALHO CUNHA SALES,25/07/2022 14:35:35,1 Hr(s) 34 Min 59 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,tratamento profilático de migrânea em pacientes do ambulatório de neurologia do hospital universitário da universidade federal do piauí (hu – ufpi),2294.0,Aguardando aprovação do CEP,LIA CRUZ VAZ DA COSTA DAMÁSIO,18/05/2022 09:37:11,1 Dia(s) 36 Min 5 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,prevalência das lesões orais em pacientes do hospital universitário (hu) da universidade federal do piauí,2293.0,Aguardando aprovação do CEP,ANA LINA DE CARVALHO CUNHA SALES,07/04/2022 13:33,12 Dia(s) 33 Min,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,“expressões da questão social na saúde e o trabalho do(a) assistente social no âmbito hospitalar na pandemia da covid-19 em teresina -pi”,2215.0,Aguardando aprovação do CEP,GINIVALDO VICTOR RIBEIRO DO NASCIMENTO,29/03/2022 11:12:53,4 Dia(s) 19 Hr(s) 12 Min 26 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,análise de dimensões antropomórficas não usuais em pacientes com síndrome metabólica do serviço de endocrinologia em hospital universitário,2194.0,Projeto aprovado,JOSE MARIA CORREIA LIMA E SILVA,04/04/2023 08:26,11 Hr(s) 11 Min 17 Seg,Aguardando avaliação da GEP,Projeto aprovado
HU-UFPI,“perfil de pacientes atendidos em ambulatório de geriatria de um hospital universitário”,2172.0,Aguardando aprovação do CEP,GINIVALDO VICTOR RIBEIRO DO NASCIMENTO,26/04/2022 15:20:04,1 Dia(s) 2 Hr(s) 7 Min 5 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,desenvolvimento de um software para gestão de fila cirurgica eletiva em hospital universitário do nordeste desenvolvimento de um software para gestão de fila cirurgica eletiva em um hospital universitário do nordeste,2144.0,Projeto aprovado,GINIVALDO VICTOR RIBEIRO DO NASCIMENTO,05/05/2022 14:20,1 Dia(s) 15 Hr(s) 44 Min 9 Seg,Aguardando avaliação da GEP,Projeto aprovado
HU-UFPI,acompanhamento de pacientes com artrite reumatoide em tratamento com tocilizumabe,2141.0,Aguardando aprovação do CEP,ANA LINA DE CARVALHO CUNHA SALES,07/04/2022 13:40,14 Dia(s) 19 Hr(s) 28 Min 9 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,eventos cardiovasculares em pacientes internados com covid-19 em unidade de terapia intensiva: um estudo observacional retrospectivo,1973.0,Projeto aprovado,ANA LINA DE CARVALHO CUNHA SALES,17/08/2022 11:20:32,2 Dia(s) 23 Hr(s) 16 Min 28 Seg,Aguardando avaliação da GEP,Projeto aprovado
HU-UFPI,avaliação da função pulmonar de indivíduos em pós-operatório de artrodese da coluna submetidos à terapia com pressão positiva,1969.0,Aguardando aprovação do CEP,GINIVALDO VICTOR RIBEIRO DO NASCIMENTO,26/04/2022 15:20:44,1 Dia(s) 2 Hr(s) 8 Min 4 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,manifestações ungueais de doenças sistêmicas em pacientes internados no hu/ufpi,1947.0,Aguardando aprovação do CEP,GINIVALDO VICTOR RIBEIRO DO NASCIMENTO,29/03/2022 11:14:11,8 Dia(s) 2 Min 2 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,análise da adesão ao manual de antibioticoprofilaxia cirúrgica na prevenção de infecção em sítio cirúrgico em um hospital universitário,1934.0,Projeto aprovado,ANA LINA DE CARVALHO CUNHA SALES,21/07/2022 09:01:43,15 Hr(s) 29 Min,Aguardando avaliação da GEP,Projeto aprovado
HU-UFPI,perfil de mulheres em tratamento do câncer de mama atendidas em um hospital do piauí no primeiro ano de pandemia,1915.0,Projeto aprovado,ANA LINA DE CARVALHO CUNHA SALES,24/01/2023 20:42:19,5 Hr(s) 5 Min 30 Seg,Aguardando avaliação da GEP,Projeto aprovado
HU-UFPI,"""análise da adesão ao manual de antibioticoprofilaxia cirúrgica na prevenção de infecção em sítio cirúrgico em um hospital universitário""",1822.0,Projeto aprovado,ANA LINA DE CARVALHO CUNHA SALES,14/07/2022 10:54:14,4 Min 7 Seg,Aguardando avaliação da GEP,Projeto aprovado
HU-UFPI,"acesso à reabilitação após acidente vascular cerebral no brasil: estudo multicêntrico, retrospectivo",2643.0,Aguardando aprovação do CEP,ANA LINA DE CARVALHO CUNHA SALES,22/07/2022 10:52:41,17 Hr(s) 52 Min 10 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,neoplasias malignas da região oral e maxilofacial de pacientes atendidos no hospital universitário da universidade federal do piauí,2639.0,Projeto aprovado,JOSE MARIA CORREIA LIMA E SILVA,03/01/2023 08:14,17 Hr(s) 19 Min 14 Seg,Aguardando avaliação da GEP,Projeto aprovado
HU-UFPI,perfil clínico e epidemiológico dos casos de covid -19 em um hospital universitário do nordeste,2636.0,Aguardando aprovação do CEP,ANA LINA DE CARVALHO CUNHA SALES,22/07/2022 10:52:25,17 Hr(s) 51 Min 53 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,busca ativa de reações adversas a medicamentos (ram) em um hospital universitário,2624.0,Aguardando aprovação do CEP,ANA LINA DE CARVALHO CUNHA SALES,07/04/2022 13:34,14 Dia(s) 2 Hr(s) 32 Min 3 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,"ensaio clínico randomizado, multicêntrico e controlado de avaliação de tratamento antimicrobiano em traqueobronquite associada à ventilação mecânica – estudo vatican",2582.0,Projeto aprovado,JOSE MARIA CORREIA LIMA E SILVA,29/10/2024 10:23:38,3 Dia(s) 23 Hr(s) 46 Min 1 Seg,Aguardando avaliação da GEP,Projeto aprovado
HU-UFPI,": avaliação de um protocolo de suplementação com vitamina e para pacientes com câncer de mama em tratamento quimioterápico no sus: impactos, eficiência e aplicabilidade",2579.0,Aguardando assinatura da carta de anuência,ANA LINA DE CARVALHO CUNHA SALES,26/01/2023 09:31:37,6 Dia(s) 18 Hr(s) 51 Min 10 Seg,Aguardando autorização do setor responsável,Emissão da carta de anuência
HU-UFPI,construção de banco de imagem de microscopia para diagnóstico e acompanhamento da tuberculose usando visão e inteligência computacional,2535.0,Projeto aprovado,CARLOS EDUARDO BATISTA DE LIMA,06/10/2022 15:23,3 Dia(s) 4 Hr(s) 50 Min 19 Seg,Aguardando autorização do setor responsável,Projeto aprovado
HU-UFPI,estudo rosa dos ventos: diferenças regionais nas características clínicas e no tratamento da insuficiência cardíaca crônica no brasil.,2526.0,Projeto aprovado,ANA LINA DE CARVALHO CUNHA SALES,20/07/2022 12:14:28,19 Hr(s) 33 Min 56 Seg,Aguardando avaliação da GEP,Projeto aprovado
HU-UFPI,sazonalidade da fadiga na doença de parkinson em local de alta temperatura,2510.0,Em ajuste pelo pesquisador,GINIVALDO VICTOR RIBEIRO DO NASCIMENTO,25/03/2022 15:42:07,1 Dia(s) 20 Hr(s) 44 Min 37 Seg,Em análise pela GEP,Solicitado ajustes
HU-UFPI,dor na histeroscopia diagnóstica em mulheres com suspeita de doenças endometriais,2505.0,Aguardando aprovação do CEP,LIA CRUZ VAZ DA COSTA DAMÁSIO,18/05/2022 09:36:28,8 Dia(s) 19 Hr(s) 33 Min 30 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,"relação interpessoal, bem-estar e satisfação com os cuidados de enfermagem de pacientes no ambiente hospitalar",2483.0,Em ajuste para autorização do setor responsável,GINIVALDO VICTOR RIBEIRO DO NASCIMENTO,19/04/2022 15:15:35,18 Dia(s) 29 Min 11 Seg,Aguardando autorização do setor responsável,Solicitado ajustes
HU-UFPI,perfil das biópsia renais dos portadores de nefrite lúpica e correlações clínico-epidemiológicas,2409.0,Aguardando aprovação do CEP,GINIVALDO VICTOR RIBEIRO DO NASCIMENTO,26/04/2022 15:20:58,1 Dia(s) 2 Hr(s) 8 Min 19 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,perfil clínico-epidemiológico dos pacientes com trombocitopenia imune primária tratados no hospital universitário do piauí,2405.0,Projeto aprovado,ANA LINA DE CARVALHO CUNHA SALES,07/11/2022 13:09,2 Dia(s) 4 Hr(s) 28 Min 45 Seg,Aguardando avaliação da GEP,Projeto aprovado
HU-UFPI,implantação de terapia sequencial oral de antimicrobianos em hospital universitário,2364.0,Aguardando aprovação do CEP,ANA LINA DE CARVALHO CUNHA SALES,19/07/2022 09:52:34,4 Dia(s) 22 Hr(s) 51 Min 55 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,gameterapia para auxílio em tratamentos de reabilitação dos músculos da mastigação e mímica facial.,2905.0,Projeto aprovado,ANA LINA DE CARVALHO CUNHA SALES,08/03/2022 15:44,1 Dia(s) 1 Hr(s) 34 Min 42 Seg,Aguardando avaliação da GEP,Projeto aprovado
HU-UFPI,desfechos pós-operatórios de doenças da aorta torácica em hospital de referência no estado do piauí,2891.0,Aguardando aprovação do CEP,LIA CRUZ VAZ DA COSTA DAMÁSIO,18/05/2022 09:35:33,23 Hr(s) 34 Min 15 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,pseudomixoma peritoneal: principais achados tomográficos e desfechos clínicos.,2835.0,Aguardando aprovação do CEP,LIA CRUZ VAZ DA COSTA DAMÁSIO,20/05/2022 17:10:15,1 Min 36 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,perfil clínico e epidemiológicos dos pacientes internados na enfermaria de dermatologia do hospital universitário de teresina no período de 2015 a 2021,2808.0,Projeto aprovado,ANA LINA DE CARVALHO CUNHA SALES,18/08/2022 10:54:52,19 Min 16 Seg,Aguardando avaliação da GEP,Projeto aprovado
HU-UFPI,validação de questionário para avaliar o comprometimento da saúde mental de mulheres vítimas de violência doméstica,2800.0,Aguardando aprovação do CEP,ANA LINA DE CARVALHO CUNHA SALES,07/04/2022 13:33,12 Dia(s) 33 Min 26 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,características pessoais e profissionais das mulheres na cirurgia e traumatologia bucomaxilofacial,2738.0,Em ajuste para autorização do setor responsável,GINIVALDO VICTOR RIBEIRO DO NASCIMENTO,17/05/2022 14:48:21,5 Dia(s) 2 Hr(s) 54 Min 9 Seg,Aguardando autorização do setor responsável,Solicitado ajustes
HU-UFPI,efetividade de terapias alternativas para hanseníase em pacientes resistentes e ou com reações adversas ao tratamento padrão preconizado pelo ministério da saúde,2725.0,Em ajuste pelo pesquisador,GINIVALDO VICTOR RIBEIRO DO NASCIMENTO,19/04/2022 15:23:20,10 Dia(s) 22 Hr(s) 49 Min 38 Seg,Em análise pela GEP,Solicitado ajustes
HU-UFPI,absenteísmo de trabalhadores de enfermagem em um hospital universitário brasileiro,2718.0,Projeto aprovado,JOSE MARIA CORREIA LIMA E SILVA,09/04/2023 08:41,2 Dia(s) 17 Hr(s) 49 Min 48 Seg,Aguardando avaliação da GEP,Projeto aprovado
HU-UFPI,estado nutricional relativo ao selênio e marcadores de estresse oxidativo em pacientes com doenças inflamatórias intestinais,2714.0,Aguardando aprovação do CEP,ANA LINA DE CARVALHO CUNHA SALES,27/07/2022 10:14:41,1 Dia(s) 21 Hr(s) 14 Min 9 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,relação entre adicção aos smartphones e o nível de competência de comunicação interpessoal em enfermeiros de instituições hospitalares,2698.0,Em ajuste pelo pesquisador,GINIVALDO VICTOR RIBEIRO DO NASCIMENTO,31/03/2022 14:02:31,3 Hr(s) 58 Min,Em análise pela GEP,Solicitado ajustes
HU-UFPI,perfil clínico-epidemiológico de pacientes com demência atendidos no hospital universitário do piauì,2695.0,Aguardando aprovação do CEP,GINIVALDO VICTOR RIBEIRO DO NASCIMENTO,26/04/2022 15:20:18,1 Dia(s) 2 Hr(s) 7 Min 31 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,análise do perfil de consumo de antimicrobianos antes e duarante a pandemia da covid-19 em um hospital universitário de alta complexidade,2689.0,Projeto aprovado,ANA LINA DE CARVALHO CUNHA SALES,10/10/2022 14:28,20 Seg,Aguardando autorização do setor responsável,Projeto aprovado
HU-UFPI,avaliação de arritmias cardíacas e distúrbios de condução cardíacos através da utilização do smartwatch (apple watch®) em pacientes com doença cardiovascular,2654.0,Projeto aprovado,ANA LINA DE CARVALHO CUNHA SALES,19/07/2022 14:48:14,3 Hr(s) 14 Min 48 Seg,Aguardando avaliação da GEP,Projeto aprovado
HU-UFPI,alterações cardiovasculares em pacientes com câncer de mama submetidos a tratamento com antracíclicos ou trastuzumabe em hospital terciário de teresina-pi,2652.0,Projeto aprovado,ANA LINA DE CARVALHO CUNHA SALES,19/07/2022 14:47:49,3 Hr(s) 13 Min 55 Seg,Aguardando avaliação da GEP,Projeto aprovado
HU-UFPI,fatores de risco e eventos cardiovasculares em pacientes com lúpus eritematoso sistêmico atendidos em hospital terciário,2649.0,Projeto aprovado,ANA LINA DE CARVALHO CUNHA SALES,19/07/2022 14:48:36,3 Hr(s) 16 Min 25 Seg,Aguardando avaliação da GEP,Projeto aprovado
HU-UFPI,avaliação do conhecimento de médicos não oftalmologistas sobre o processo de doação de córnea,3024.0,Aguardando aprovação do CEP,ANA LINA DE CARVALHO CUNHA SALES,07/04/2022 13:36,23 Dia(s) 21 Hr(s) 35 Min 58 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,avaliação do estilo de vida dos médicos residentes do hospital universitário da universidade federal do piauí,3015.0,Aguardando aprovação do CEP,ANA LINA DE CARVALHO CUNHA SALES,07/04/2022 13:38,5 Dia(s) 30 Min 9 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,classificação de bethesda das citologias por agulha fina da tireoide realizadas no hospital universitário da universidade federal do piauí (hu-ufpi) nos anos de 2019 e 2020.,3002.0,Aguardando aprovação do CEP,LIA CRUZ VAZ DA COSTA DAMÁSIO,20/05/2022 17:10:23,1 Min 46 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,associação entre complicações intradialíticas e evolução em pacientes com injúria renal aguda com necessidade de diálise internados em um hospital terciário,2998.0,Projeto aprovado,GINIVALDO VICTOR RIBEIRO DO NASCIMENTO,11/11/2022 10:01,1 Min 35 Seg,Aguardando avaliação da GEP,Projeto aprovado
HU-UFPI,avaliação da resposta ao tratamento de pacientes com nefrite lúpica proliferativa em relação ao intervalo de administração de ciclofosfamida em um hospital terciário,2984.0,Projeto aprovado,GINIVALDO VICTOR RIBEIRO DO NASCIMENTO,11/11/2022 10:01,2 Min 50 Seg,Aguardando avaliação da GEP,Projeto aprovado
HU-UFPI,correlação clínica e anatomopatológica dos pacientes com alopecia frontal fibrosante e liquen plano pilar: estudo de série de casos.,2976.0,Aguardando aprovação do CEP,ANA LINA DE CARVALHO CUNHA SALES,28/09/2022 15:27:44,14 Dia(s) 2 Hr(s) 26 Min 47 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
HU-UFPI,tratamento da dor em pacientes oncológicos atendidos no hospital universitário da universidade federal do piauí – hu – ufpi,2969.0,Em ajuste pelo pesquisador,GINIVALDO VICTOR RIBEIRO DO NASCIMENTO,19/04/2022 15:35:06,7 Dia(s) 23 Hr(s) 7 Min 59 Seg,Em análise pela GEP,Solicitado ajustes
HU-UFPI,estudo clínico-epidemiológico de fibromialgia no ambulatório de reumatologia de um hospital universitário no piauí,2958.0,Aguardando aprovação do CEP,LIA CRUZ VAZ DA COSTA DAMÁSIO,18/05/2022 09:26:57,23 Hr(s) 25 Min 54 Seg,Carta de anuência assinada,Solicitado documento de aprovação do CEP
