HU,Título do Projeto,Classificação Institucional da Pesquisa,Projeto envolve seres humanos,Delineamento do Estudo,Tipo de Estudo,É estudo multicêntrico,É projeto com co-participação,Estado do projeto,Tempo decorrido entre status,Tempo decorrido entre status.1
HU-UFPI,valor prognóstico da tomografia computadorizada do tórax na avaliação prognóstica de pacientes internados com covid-19 em um hospital de alta complexidade no nordeste do brasil,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,análise da indicação de transfusões de hemácias em um hospital da rede pública em teresina-pi,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,análise dos pedidos de interconsulta destinados à oftalmologia no hospital universitário da universidade federal do piauí,Pesquisa Acadêmica,Não,Transversal,Observacional/Epidemiológico,Não,Não,Em ajuste pelo pesquisador,,Pendente
HU-UFPI,avaliação da sedoanalgesia pelo monitoramento do índice bispectral em uma unidade de terapia intensiva - covid,Pesquisa Acadêmica,Sim,Transversal,Ciências Sociais e Humanas e Aplicadas em Saúde,Não,Não,Projeto aprovado,304,428
HU-UFPI,avaliação da terapia à vácuo endoscópica em pacientes de um hospital universitário.,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,"características clínicas, coinfecção e desfecho de pacientes com a covid-19",Pesquisa Acadêmica,Sim,Caso-controle,Observacional/Epidemiológico,Não,Sim,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,características clínicas e epidemiológicas de pacientes submetidos a terapia de ablação por catéter atendidos em hospital terciário,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,comparação de escores de risco cardiovascular em cirurgia vascular arterial,Pesquisa Acadêmica,Não,Transversal,Observacional/Epidemiológico,Não,Não,Em ajuste pelo pesquisador,,Pendente
HU-UFPI,estudo de preditores precoces de cardiotoxicidade decorrente do tratamento do câncer de mama,Pesquisa Acadêmica,Sim,Coorte,Observacional/Epidemiológico,Não,Sim,Projeto aprovado,148,171
HU-UFPI,modelo de prescrição médica para terapia empírica antimicrobiana,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,não inferioridade da dapaglifozina em relação a hidroclorotiazida como anti-hipertensivo em monoterapia na hipertensão arterial estagio i,Pesquisa Acadêmica,Sim,Ensaio Clínico,Experimental/Clínico,Não,Sim,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,perfil clínico dos pacientes com elevada suspeita de nefropatia hereditária no hospital universitário do piauí,Pesquisa Acadêmica,Sim,,,,,Em cadastramento,Pendente,Pendente
HU-UFPI,"programa stewardship de antimicrobianos: formação, implementação e ênfase em estratégias de ajuste de dose em instituições de saúde de teresina.",Desenvolvimento tecnológico,Não,Coorte,Desenvolvimento/Avaliação,Não,Sim,Em ajuste para autorização do setor responsável,,Pendente
HU-UFPI,proposta de uso da calculadora calcvan para dosagem de vancomicina em pacientes da uti de um hospital universitário,Desenvolvimento tecnológico,Sim,Transversal,Desenvolvimento/Avaliação,Não,Não,Aguardando assinatura da carta de anuência,Pendente,Pendente
HU-UFPI,sazonalidade da fadiga na doença de parkinson em local de alta temperatura,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Projeto aprovado,106,146
HU-UFPI,a,Desenvolvimento tecnológico,Sim,Coorte,Observacional/Epidemiológico,Não,Não,Em cadastramento,Pendente,Pendente
HU-UFPI,análise e comparação da reprodutibilidade e concordância intra e interobservadores das classificações de garden e ao para fratura de colo do fêmur,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,aspectos epidemiológicos de pacientes atendidos em tele eletrocardiografia no núcleo de telessaúde da ufpi,Desenvolvimento tecnológico,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Em cadastramento,Pendente,Pendente
HU-UFPI,associação entre os dominios da religiosidade com a preservação das funções cognitivas em pacientes com diagnostico de doença de parkinson idiopatica,Pesquisa Acadêmica,Sim,Prospectivo,Ciências Sociais e Humanas e Aplicadas em Saúde,Não,Não,Projeto aprovado,107,143
HU-UFPI,avaliação da condição de fadiga em pacientes com retocolite ulcerativa no hospital universitário da universidade federal do piauí,Pesquisa Acadêmica,Sim,,,,,Em cadastramento,Pendente,Pendente
HU-UFPI,"avaliação da eficácia do poli-hexametileno biguanida na prevenção de infecções pós-operatórias em cirurgias de prótese de quadril: uma análise abrangente dos resultados, efeitos colaterais e fatores de risco",Pesquisa Acadêmica,Sim,Coorte,Experimental/Clínico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,criação de interface entre sistemas de monitorização em terapia intensiva e construção de painel digital dinâmico,Desenvolvimento tecnológico,Sim,,,,,Em cadastramento,Pendente,Pendente
HU-UFPI,criação de interface entre sistemas de monitorização em terapia intensiva e construção de painel digital dinâmico,Desenvolvimento tecnológico,Sim,,,,,Em cadastramento,Pendente,Pendente
HU-UFPI,desenvolvimento de dataset e de algoritmo para o reconhecimento de acometimento cognitivo na doença de parkinson baseado em aprendizado por inteligência artificial,Desenvolvimento tecnológico,Sim,,,,,Em cadastramento,Pendente,Pendente
HU-UFPI,desenvolvimento de dataset e de algoritmo para o reconhecimento de acometimento cognitivo na doença de parkinson baseado em aprendizado por inteligência artificial,Desenvolvimento tecnológico,Sim,,,,,Em cadastramento,Pendente,Pendente
HU-UFPI,desenvolvimento de um sistema de pontuação de risco para infertilidade,Pesquisa Acadêmica,Sim,Desenvolvimento de sistema em análise de dados,Desenvolvimento/Avaliação,Não,Não,Em cadastramento,Pendente,Pendente
HU-UFPI,estimulação cerebral profunda na doença de parkinson: análise de qualidade de vida,Pesquisa Acadêmica,Sim,Coorte,Desenvolvimento/Avaliação,Não,Não,Em ajuste pelo pesquisador,Pendente,Pendente
HU-UFPI,impacto da reabilitação motora no segmento cognitivo de pacientes submetidos a cirurgia de medula espinhal,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,impacto de um protocolo pré-operatório de treinamento muscular inspiratório no desfecho de pacientes submetidos a cirurgia cardíaca,Pesquisa Acadêmica,Sim,,,,,Em cadastramento,Pendente,Pendente
HU-UFPI,implementação de um protocolo de triagem respiratória em pacientes com lesão medular cervical e torácica na fase pré-operatória,Pesquisa Acadêmica,Sim,Longitudinal,De intervenção,Não,Não,Em cadastramento,Pendente,Pendente
HU-UFPI,incidência de lesão por pressão: análise da existência de subnotificação,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Projeto aprovado,356,406
HU-UFPI,olhar para a paliação: desenvolvimento de material educativo para cuidadores de pacientes em cuidados paliativos em um hospital universitário,Pesquisa Acadêmica,Sim,,,,,Em cadastramento,Pendente,Pendente
HU-UFPI,olhar para a paliação: desenvolvimento de material educativo para cuidadores de pacientes em cuidados paliativos em um hospital universitário,Pesquisa Acadêmica,Sim,,,,,Em cadastramento,Pendente,Pendente
HU-UFPI,percepção e cuidados da saúde mental de pacientes com obesidade,Pesquisa Acadêmica,Sim,,,,,Em cadastramento,Pendente,Pendente
HU-UFPI,perfil anátomo-clínico dos casos de melanoma cutâneo atendidos no hospital universitário da universidade federal do piauí,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Projeto aprovado,40,83
HU-UFPI,perfil dos pacientes cirúrgicos eletivos pós-pandemia da covid-19,Pesquisa Acadêmica,Sim,,,,,Em cadastramento,Pendente,Pendente
HU-UFPI,perfil dos pacientes pós-jejunostomia em um hospital universitário do estado do piauí,Pesquisa Acadêmica,Sim,,,,,Em cadastramento,Pendente,Pendente
HU-UFPI,"peróxido de hidrogênio e luz ultravioleta para desinfecção de superfícies em unidades de terapia intensiva: um ensaio clínico, randomizado, controlado, em cluster, com crossover.","Ensaio clínico, randomizado, em cluster, com crossover.",Sim,"Ensaio clínico, randomizado, em cluster, crossover",Experimental/Clínico,Sim,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,prevalência e fatores associados à complicações no pós-operatório de cirurgias de revascularização do miocárdio em um hospital universitário do nordeste do brasil,Pesquisa Acadêmica,Sim,Transversal,Descritivo,Não,Não,Em ajuste pelo pesquisador,Pendente,Pendente
HU-UFPI,qualidade de vida e função sexual em mulheres no período pré-operatório à histerectomia,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Sim,Em cadastramento,Pendente,Pendente
HU-UFPI,qualidade de vida e função sexual em mulheres no período pré-operatório à histerectomia,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Sim,Em cadastramento,Pendente,Pendente
HU-UFPI,raro exemplo de carcinoma adenoide cístico: um relato de caso,RELATO DE CASO,Sim,,,,,Em cadastramento,Pendente,Pendente
HU-UFPI,uma proposta de classificação para acessos venosos centrais e suas possiveis complicações precoces,Pesquisa Acadêmica,Sim,Coorte,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,vacinação contra hpv: perfil de conhecimento dos colaboradores do hospital universitário da universidade federal do piauí (hu - ufpi),Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,acne e mídia social: avaliação do conteúdo em português (brasil) disponível no tiktok,Pesquisa Acadêmica,Não,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,,Pendente
HU-UFPI,acompanhamento em tempo real da função renal de pacientes em uso de vancomicina: análise e desenvolvimento de ferramenta para ajuste de dose,,Sim,Coorte,Observacional/Epidemiológico,Não,Não,Em cadastramento,Pendente,Pendente
HU-UFPI,avaliação da influência das funções visuoespacial e executiva na percepção social em pacientes com doença de parkinson idiopática,Pesquisa Acadêmica,Não,Transversal,Observacional/Epidemiológico,Não,Não,Em ajuste pelo pesquisador,,Pendente
HU-UFPI,condição de saúde bucal e necessidade de tratamento odontológico de pacientes internados na unidade de terapia intensiva do hu-ufpi/ebserh,Pesquisa Acadêmica,Não,Transversal,Observacional/Epidemiológico,Não,Não,Em cadastramento,,Pendente
HU-UFPI,conhecimento de pacientes internados e acompanhantes sobre segurança do paciente : estudo transversal,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Em cadastramento,Pendente,Pendente
HU-UFPI,construção e validação de tecnologias educativas sobre orientações nutricionais para tratamento quimioterápico ambulatorial,,Sim,Transversal,Desenvolvimento/Avaliação,Sim,Não,Em cadastramento,Pendente,Pendente
HU-UFPI,disbiose intestinal e estado nutricional em pacientes internados com doenças autoimunes em um hospital universitário,,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Em cadastramento,Pendente,Pendente
HU-UFPI,distúrbios perceptivos em pacientes com esquizofrenia e transtorno de personalidade borderline: a visão do clínico,,Sim,,,,,Em cadastramento,Pendente,Pendente
HU-UFPI,distúrbios perceptivos em pacientes com esquizofrenia e transtorno de personalidade borderline: a visão do clínico,,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Em ajuste pelo pesquisador,Pendente,Pendente
HU-UFPI,estudo de prevalência de pneumonia associada a ventilação mecânica em pacientes submetidos a cirurgia cardíaca na uti do hospital universitário da universidade federal do piauí no período de 2022-2024.,,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,estudo epidemiológico do registro de transtornos de personalidade no hospital universitário - ufpi no período de 2013 a 2024,Pesquisa Acadêmica,Sim,,,,,Em cadastramento,Pendente,Pendente
HU-UFPI,estudo epidemiológico do registro de transtornos de personalidade no hospital universitário - ufpi no período de 2013 a 2024,,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,padrão epidemiológico e tendência temporal das internações hospitalares da rede ebserh - 2012 a 2023,Pesquisa Acadêmica,Sim,,,,,Em cadastramento,Pendente,Pendente
HU-UFPI,padrão epidemiológico e tendência temporal das internações hospitalares da rede ebserh - 2012 a 2023,Pesquisa Acadêmica,Não,Transversal,Observacional/Epidemiológico,Sim,Não,Em cadastramento,,Pendente
HU-UFPI,"perfil clínico, diagnóstico, terapêutico e epidemiológico de pacientes com doenças neurológicas raras atendidos em ambulatório especializado do piauí",,Sim,Transversal,Observacional/Epidemiológico,Não,Sim,Em cadastramento,Pendente,Pendente
HU-UFPI,perfil de mulheres negras autodentificadas submetidas à cirurgia por leiomiomas,,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Projeto aprovado,83,120
HU-UFPI,perfil de mulheres negras autoidentificadas submetidas à cirurgia por leiomiomas,,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Em ajuste pelo pesquisador,Pendente,Pendente
HU-UFPI,teste,,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Em cadastramento,Pendente,Pendente
HU-UFPI,variáveis preditoras de conversão de comprometimento cognitivo leve para demência na doença de parkinson: estudo baseado em registros do hospital universitário - ufpi,,Sim,Coorte,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
,nan,,,,,,,,,
