HU,Título do Projeto,Classificação Institucional da Pesquisa,Projeto envolve seres humanos,Delineamento do Estudo,Tipo de Estudo,É estudo multicêntrico,É projeto com co-participação,Estado do projeto,Tempo decorrido entre status,Tempo decorrido entre status.1
HU-UFPI,"DIGITALIZAÇÃO DOS SERVIÇOS PÚBLICOS, AMBIDESTRIA E GOVERNANÇA PÚBLICA: EVIDÊNCIAS NO HOSPITAL UNIVERSITÁRIO FEDERAL DO PIAUÍ",Pesquisa Acadêmica,Sim,Estudo de caso,Ciências Sociais Aplicada/ Inovação,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,ESTADO NUTRICIONAL E SOBREVIDA DE PACIENTES COM COVID-19 INTERNADOS NO HOSPITAL UNIVERSITÁRIO DA UNIVERSIDADE FEDERAL DO PIAUÍ,PESQUISA CLÍNICA,Sim,Coorte,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,IMPACTO DA INSERÇÃO DO SISTEMA INTRAUTERINO DE LEVONORGESTREL (SIU-LNG) NA FILA DE ESPERA DE PROCEDIMENTOS CIRÚRGICOS DE UM HOSPITAL UNIVERSITÁRIO,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,INFLUÊNCIA DA HIPOALBUMINEMIA NA MORBIDADE PÓS-OPERATÓRIA DE PACIENTES SUBMETIDOS À RESSECÇÃO COLORRETAL ONCOLÓGICA,Pesquisa Acadêmica,Sim,Coorte,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,LEVANTAMENTO EPIDEMIOLÓGICO DOS CARCINOMAS ORAIS DIAGNOSTICADOS NO SETOR DE CABEÇA E PESCOÇO DO HOSPITAL UNIVERSITÁRIO – UFPI,Levantamento epidemiológico de laudos histopatológicos,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,LEVANTAMENTO EPIDEMIOLÓGICO DO USO DE SISTEMAS DE FIXAÇÃO PELA CIRURGIA E TRAUMATOLOGIA BUCO-MAXILO-FACIAIS NO HOSPITAL UNIVERSITÁRIO – UFPI,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,O IMPACTO DA PANDEMIA PELO CORONAVÍRUS (COVID-19) NA SAÚDE MENTAL DOS PROFISSIONAIS DE SAÚDE DE UM HOSPITAL DE REFERÊNCIA PARA COVID 19,Pesquisa Acadêmica,Sim,Transversal,Ciências Sociais e Humanas e Aplicadas em Saúde,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,O PAPEL DAS CIRURGIAS PALIATIVAS NO CÂNCER BILIOPANCREÁTICO NO HOSPITAL UNIVERSITÁRIO DA UNIVERSIDADE FEDERAL DO PIAUÍ,Pesquisa Acadêmica,Sim,Transversal,Analítico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,PERCEPÇÃO DO CUIDADO DE ENFERMAGEM ADVINDA DA INSERÇÃO DE ESPECIALISTAS NO MERCADO DE TRABALHO,Pesquisa Acadêmica,Sim,Levantamento de campo,Pesquisa descritiva-exploratória,Não,Não,Em ajuste para autorização do setor responsável,Pendente,Pendente
HU-UFPI,"Acesso à reabilitação após acidente vascular cerebral no Brasil: estudo multicêntrico, retrospectivo",Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Sim,Sim,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,ACHADOS DE IMAGEM NA TOMOGRAFIA COMPUTADORIZADA DE TÓRAX EM PACIENTES COM COVID-19 E CORRELAÇÃO COM DESFECHO CLÍNICO,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Projeto aprovado,98,136
HU-UFPI,ACOMPANHAMENTO DE PACIENTES COM ARTRITE REUMATOIDE EM TRATAMENTO COM TOCILIZUMABE,Desenvolvimento tecnológico,Sim,Coorte,Observacional/Epidemiológico,Sim,Sim,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,A IDENTIFICAÇÃO DAS PRINCIPAIS BARREIRAS À MOBILIZAÇÃO PRECOCE PERCEBIDAS PELA EQUIPE MULTIPROFISSIONAL DE UMA UNIDADE DE TERAPIA INTENSIVA (UTI) EM UM HOSPITAL UNIVERSITÁRIO,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Projeto aprovado,225,332
HU-UFPI,ALTERAÇÕES CARDIOVASCULARES EM PACIENTES COM CÂNCER DE MAMA SUBMETIDOS A TRATAMENTO COM ANTRACÍCLICOS OU TRASTUZUMABE EM HOSPITAL TERCIÁRIO DE TERESINA-PI,Pesquisa Acadêmica,Sim,Coorte,Observacional/Epidemiológico,Não,Não,Projeto aprovado,15,29
HU-UFPI,ANALGESIA PRÉ-OPERATÓRIA VERSUS ANALGESIA PÓS -OPERATÓRIA COM INFILTRAÇÃO DE ANASTÉSICO LOCAL EM INCISÕES CIRÚRGICAS DE COLECISTECTOMIA VIDEOLAPAROSCÓPICA,Pesquisa Acadêmica,Sim,ensaio clinico,Experimental/Clínico,Sim,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,ANÁLISE BIOMECÂNICA DO QUADRIL HUMANO SAUDÁVEL DURANTE ACOMODAÇÃO EM REDES DE DESCANSO PARA APLICAÇÃO NO CONTEXTO PÓS-OPERATÓRIO DE ARTROPLASTIA DE QUADRIL,Pesquisa Acadêmica,Sim,Experimental,Experimental não-clínico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,ANÁLISE COMPARATIVA DE ACINESIA E ANALGESIA PÓS OPERATÓRIA DE BLOQUEIO OFTÁLMICO EM PACIENTES SUBMETIDOS A CIRURGIA DE CATARATA,Pesquisa Acadêmica,Sim,Ensaio clínico randomizado,Experimental/Clínico,Não,Não,Em ajuste pelo pesquisador,Pendente,Pendente
HU-UFPI,"""ANÁLISE DA ADESÃO AO MANUAL DE ANTIBIOTICOPROFILAXIA CIRÚRGICA NA PREVENÇÃO DE INFECÇÃO EM SÍTIO CIRÚRGICO EM UM HOSPITAL UNIVERSITÁRIO""",Pesquisa Acadêmica,Sim,Coorte,Observacional/Epidemiológico,Não,Não,Projeto aprovado,0,191
HU-UFPI,ANÁLISE DA ADESÃO AO MANUAL DE ANTIBIOTICOPROFILAXIA CIRÚRGICA NA PREVENÇÃO DE INFECÇÃO EM SÍTIO CIRÚRGICO EM UM HOSPITAL UNIVERSITÁRIO,Pesquisa Acadêmica,Sim,Coorte,Observacional/Epidemiológico,Não,Não,Projeto aprovado,114,177
HU-UFPI,ANÁLISE DA INDICAÇÃO DE TRANSFUSÕES DE HEMÁCIAS EM UM HOSPITAL DA REDE PÚBLICA EM TERESINA-PI,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Em ajuste pelo pesquisador,Pendente,Pendente
HU-UFPI,ANÁLISE DA MICROBIOLOGIA DA BILE DE PACIENTES SUBMETIDOS À DESOBSTRUÇÃO CIRÚRGICA DAS VIAS BILIARES NO HOSPITAL UNIVERSITÁRIO DA UNIVERSIDADE FEDERAL DO PIAUÍ,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,ANÁLISE DA RESISTÊNCIA MECÂNICA DA FIXAÇÃO INFRATECTAL E SUPRATECTAL DAS FRATURAS DA PAREDE ANTERIOR DO ACETÁBULO,Pesquisa Acadêmica,Não,EXPERIMENTAL,Experimental/Clínico,Não,Sim,Projeto aprovado,,57
HU-UFPI,Análise das alterações clínicas e histopatológicas do Refluxo Gastroesofágico Pós-Gastrectomia Vertical,Pesquisa Acadêmica,Sim,Prospectivo,Prospectivo observacional,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,Análise das alterações clínicas e histopatológicas do Refluxo Gastroesofágico Pós-Gastrectomia Vertical,Pesquisa Acadêmica,Sim,Prospectivo observacional,Observacional/Epidemiológico,Não,Não,Em cadastramento,Pendente,Pendente
HU-UFPI,ANÁLISE DAS NOTIFICAÇÕES DE VIOLÊNCIA DOMÉSTICA NO ESTADO DO PIAUÍ DURANTE A PANDEMIA DE COVID-19,Pesquisa Acadêmica,Não,Transversal,Observacional/Epidemiológico,Não,Não,Projeto aprovado,,83
HU-UFPI,ANÁLISE DA SOBREVIDA DE PACIENTES SUBMETIDOS À CIRURGIA DE HEPATECTOMIA EM UM HOSPITAL UNIVERSITÁRIO DO PIAUÍ,Pesquisa Acadêmica,Sim,Coorte,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,ANÁLISE DA SOBREVIDA DE PACIENTES SUBMETIDOS À CIRURGIA DE WHIPPLE EM HOSPITAL UNIVERSITÁRIO DO PIAUÍ,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,Análise de dados de Gestão de Hospitais Universitários e Economia da Saúde no Brasil,Desenvolvimento tecnológico,Sim,Estudo de caso,As informações solicitadas serão relacionadas à cu,Não,Não,Em ajuste pelo pesquisador,Pendente,Pendente
HU-UFPI,ANÁLISE DE VIABILIDADE ECONÔMICO-FINANCEIRA DA AMPLIAÇÃO DE LEITOS DE UTI EM UM HOSPITAL UNIVERSITÁRIO DE MÉDIA-ALTA COMPLEXIDADE,Artigo científico,Não,Coorte,Ciências Sociais e Humanas e Aplicadas em Saúde,Não,Não,Em ajuste para autorização do setor responsável,,Pendente
HU-UFPI,ANÁLISE DO PERFIL DE CONSUMO DE ANTIMICROBIANOS ANTES E DUARANTE A PANDEMIA DA COVID-19 EM UM HOSPITAL UNIVERSITÁRIO DE ALTA COMPLEXIDADE,Pesquisa Acadêmica,Não,Transversal,Descritiva transversal quali-quantitativa,Não,Não,Projeto aprovado,,193
HU-UFPI,ANÁLISE DO PERFIL DE PACIENTES TRAQUEOSTOMIZADOS E DO PROCESSO DE DECANULAÇÃO DE UM HOSPITAL PÚBLICO,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Projeto aprovado,141,224
HU-UFPI,ANÁLISE DO PERFIL E DESFECHOS CLÍNICOS EM PACIENTES SUBMETIDOS A CIRURGIA CARDÍACA EM UM HOSPITAL UNIVERSITÁRIO,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,"ANSIEDADE, DEPRESSÃO E RISCO DE SUICÍDIO ENTRE TRABALHADORES DA SAÚDE EM TEMPOS DE PANDEMIA DA COVID-19.",Pesquisa de Mestrado,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Projeto aprovado,49,58
HU-UFPI,Automação e visualização de dados sobre o consumo de medicamentos no HU-PI,Desenvolvimento tecnológico,Não,Transversal,Desenvolvimento/Avaliação,Não,Sim,Em cadastramento,,Pendente
HU-UFPI,AVALIAÇÃO CLÍNICA DE BOCHECHOS COM FRAÇÕES HIDROALCÓOLICOS DE ROMÃ (PUNICA GRANATUM L) PARA SAÚDE PERIODONTAL E RELAÇÕES ESTOMACAIS EM MULHERES ATENDIDAS NO HOSPITAL UNIVERSITÁRIO EM TERESINA-P,Pesquisa Acadêmica,Sim,Transversal,Experimental/Clínico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,Avaliação da acurácia na punção ecoendoscópica para o diagnóstico das lesões sólidas pancreáticas em Hospital Universitário,Pesquisa Acadêmica,Sim,Retrospectivo,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,AVALIAÇÃO DA ADEQUAÇÃO DA TERAPIA NUTRICIONAL ENTERAL E DO ESTADO NUTRICIONAL EM UMA UNIDADE DE TERAPIA INTENSIVA,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,AVALIAÇÃO DA FUNÇÃO PULMONAR DE INDIVÍDUOS EM PÓS-OPERATÓRIO DE ARTRODESE DA COLUNA SUBMETIDOS À TERAPIA COM PRESSÃO POSITIVA,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Sim,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,AVALIAÇÃO DA IMPLANTAÇÃO DO HOSPITAL-DIA NO MANEJO CLÍNICO DE PACIENTES COM NEFRITE LÚPICA EM PULSOTERAPIA NO HOSPITAL UNIVERSITÁRIO DA UFPI,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,"Avaliação da qualidade de vida e prognóstico dos pacientes com angina pectoris tratados de acordo com as orientações de cardiologistas ambulatoriais da A.R.C.A. (Associações Regionais de Cardiologistas Ambulatoriais) Um registro multicêntrico, prospectivo e observacional.",Pesquisa Clínica Multicêntrica,Sim,"Multicêntrico, prospectivo e observacional",Pesquisa clínica,Sim,Sim,Projeto aprovado,76,111
HU-UFPI,AVALIAÇÃO DA QUALIDADE EM COLONOSCOPIA E TAXA DE DETECÇÃO DE ADENOMAS EM HOSPITAL UNIVERSITÁRIO,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,AVALIAÇÃO DA REPRODUTIBILIDADE E CONCORDÂNCIA INTRA E INTEROBSERVADORES DA CLASSIFICAÇÃO IDEAL PARA FRATURAS DE EXTREMIDADE DISTAL DE RÁDIO,Pesquisa Acadêmica,Sim,Analítico,Desenvolvimento/Avaliação,Não,Não,Projeto aprovado,33,62
HU-UFPI,AVALIAÇÃO DA RESPOSTA AO TRATAMENTO DE PACIENTES COM NEFRITE LÚPICA PROLIFERATIVA EM RELAÇÃO AO INTERVALO DE ADMINISTRAÇÃO DE CICLOFOSFAMIDA EM UM HOSPITAL TERCIÁRIO,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Projeto aprovado,175,210
HU-UFPI,Avaliação das alterações dos hormônios tireoidianos em pacientes com Sangramento Uterino Anormal (SUA) no Hospital Universitário da Universidade Federal do Piauí campus Teresina Uterino Anormal (SUA) no Hospital Universitário da Universidade Federal do Piauí.,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando autorização do setor responsável,Pendente,Pendente
HU-UFPI,AVALIAÇÃO DE ARRITMIAS CARDÍACAS E DISTÚRBIOS DE CONDUÇÃO CARDÍACOS ATRAVÉS DA UTILIZAÇÃO DO SMARTWATCH (Apple Watch®) EM PACIENTES COM DOENÇA CARDIOVASCULAR,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Projeto aprovado,15,29
HU-UFPI,AVALIAÇÃO DE MARGENS CIRÚRGICAS DE TUMORES DE PELE NÃO MELANOMA EM UM HOSPITAL UNIVERSITÁRIO,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,AVALIAÇÃO DE RISCOS PARA O DESENVOLVIMENTO DE LESÕES DECORRENTES DO POSICIONAMENTO CIRÚRGICO EM DIFERENTES CONTEXTOS HOSPITALARES,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Sim,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,"Avaliação de um protocolo de suplementação com vitamina E para pacientes com câncer de mama em tratamento no quimioterápico no SUS: Impacto, eficiência e aplicabilidade",Pesquisa Acadêmica,Sim,,,,,Em cadastramento,Pendente,Pendente
HU-UFPI,AVALIAÇÃO DO CONHECIMENTO DE MÉDICOS NÃO OFTALMOLOGISTAS SOBRE O PROCESSO DE DOAÇÃO DE CÓRNEA,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,AVALIAÇÃO DO ESTILO DE VIDA DOS MÉDICOS RESIDENTES DO HOSPITAL UNIVERSITÁRIO DA UNIVERSIDADE FEDERAL DO PIAUÍ,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Em cadastramento,Pendente,Pendente
HU-UFPI,AVALIAÇÃO DO ESTILO DE VIDA DOS MÉDICOS RESIDENTES DO HOSPITAL UNIVERSITÁRIO DA UNIVERSIDADE FEDERAL DO PIAUÍ,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,AVALIAÇÃO DOS FATORES DE RISCO PARA COMPLICAÇÕES PÓS-OPERATÓRIAS EM PACIENTES COM DOENÇA DE CROHN SUBMETIDOS A CIRURGIA ABDOMINAL EM UM HOSPITAL UNIVERSITÁRIO DO PIAUÍ,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,AVALIAÇÃO DOS FATORES PROGNÓSTICOS E ANÁLISE DE SOBREVIDA DOS PACIENTES COM ADENOCARCINOMA GÁSTRICO SUBMETIDOS À GASTRECTOMIA NO HOSPITAL UNIVERSITÁRIO DO PIAUÍ,Pesquisa Acadêmica,Sim,Coorte,coorte retrospectiva,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,Banco de dados das cirurgias realizadas no Hospital Universitário da Universidade Federal do Piauí,Pesquisa Acadêmica,Não,Transversal,Observacional/Epidemiológico,Não,Não,Em cadastramento,,Pendente
HU-UFPI,BUSCA ATIVA DE REAÇÕES ADVERSAS A MEDICAMENTOS (RAM) EM UM HOSPITAL UNIVERSITÁRIO,Pesquisa Acadêmica,Sim,Estudo Longitudinal e Exploratório,Desenvolvimento/Avaliação,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,"CÂNCER DE PÂNCREAS: PRINCIPAIS ACHADOS TOMOGRÁFICOS, SUBTIPOS HISTOLÓGICOS E DESFECHOS CLÍNICOS",Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,CAPACIDADE FUNCIONAL DE MULHERES EM QUIMIOTERAPIA PALIATIVA POR NEOPLASIA MAMÁRIA EM HOSPITAL UNIVERSITÁRIO,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,CAPACIDADE FUNCIONAL DE MULHERES EM QUIMIOTERAPIA PALIATIVA POR NEOPLASIA MAMÁRIA EM HOSPITAL UNIVERSITÁRIO,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Em ajuste pelo pesquisador,Pendente,Pendente
HU-UFPI,"CARACTERÍSTICAS CLÍNICAS, COINFECÇÃO E DESFECHO DE PACIENTES COM A COVID-19",Pesquisa Acadêmica,Sim,Caso-controle,Observacional/Epidemiológico,Não,Não,Em ajuste pelo pesquisador,Pendente,Pendente
HU-UFPI,Características pessoais e profissionais das mulheres na Cirurgia e Traumatologia Bucomaxilofacial,Pesquisa Acadêmica,Sim,Transversal,Ciências Sociais e Humanas e Aplicadas em Saúde,Não,Não,Em ajuste para autorização do setor responsável,Pendente,Pendente
HU-UFPI,Caracterização das Reações Transfusionais Imediatas no Hospital Universitário do Piauí,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,CARACTERIZAÇÃO DAS REAÇÕES TRANSFUSIONAIS IMEDIATAS NO HOSPITAL UNIVERSITÁRIO DO PIAUÍ,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Em cadastramento,Pendente,Pendente
HU-UFPI,CATETER CENTRAL DE INSERÇÃO PERIFÉRICA: ANÁLISE DO USO EM PACIENTES ADULTOS HOSPITALIZADOS,Pesquisa Acadêmica,Sim,Transversal,Transversal analítico,Não,Não,Em ajuste pelo pesquisador,Pendente,Pendente
HU-UFPI,CATETER CENTRAL DE INSERÇÃO PERIFÉRICA: ANÁLISE DO USO EM PACIENTES ADULTOS HOSPITALIZADOS,Pesquisa Acadêmica,Sim,Transversal,Transversal analítico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,Classificação de Bethesda das citologias por agulha fina da tireoide realizadas no Hospital Universitário da Universidade Federal do Piauí (HU-UFPI) nos anos de 2019 e 2020.,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,COLANGITE ESCLEROSANTE PRIMÁRIA EM PACIENTES COM DOENÇAS INFLAMATÓRIAS INTESTINAIS NO HOSPITAL UNIVERSITÁRIO DA UNIVERSIDADE FEDERAL DO PIAUÍ,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,COMPLICAÇÕES DOS PACIENTES COM VALVOPATIA AÓRTICA IMPORTANTE SUBMETIDOS À CIRURGIA DE TROCA VALVAR EM UM HOSPITAL UNIVERSITÁRIO,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Em ajuste pelo pesquisador,Pendente,Pendente
HU-UFPI,COMPLICAÇÕES DOS PACIENTES COM VALVOPATIA AÓRTICA IMPORTANTE SUBMETIDOS À CIRURGIA DE TROCA VALVAR EM UM HOSPITAL UNIVERSITÁRIO,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,COMPLICAÇÕES PÓS-OPERATÓRIAS EM PACIENTES SUBMETIDOS A CIRURGIA BARIÁTRICA E FATORES ASSOCIADOS,Pesquisa Acadêmica,Sim,Descritivo retrospectivo,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,Construção de banco de imagem de microscopia para diagnóstico e acompanhamento da tuberculose usando visão e inteligência computacional,Pesquisa Acadêmica,Não,Desenvolvimento de banco de imagens de microscopia,Infraestrutura,Não,Não,Projeto aprovado,,72
HU-UFPI,CORRELAÇÃO CLÍNICA E ANATOMOPATOLÓGICA DOS PACIENTES COM ALOPECIA FRONTAL FIBROSANTE E LIQUEN PLANO PILAR: ESTUDO DE SÉRIE DE CASOS.,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,CORRELAÇÃO ENTRE HISTOLOGIA E CITOLOGIA DE NÓDULOS DE TIREÓIDE REALIZADAS EM UM HOSPITAL UNIVERSITÁRIO,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,CORRELAÇÃO ENTRE TESTES SANGUÍNEOS E A ETIOLOGIA MALIGNA DA OBSTRUÇÃO DE VIAS BILIARES EXTRA-HEPÁTICAS,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,CORRELAÇÃO RADIOLÓGICA E PATOLÓGICA DE LESÕES PULMONARES SUBMETIDAS A BIÓPSIA,Pesquisa Acadêmica,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,CUIDADOS PALIATIVOS: PERSPECTIVAS DE PACIENTES INTERNADOS NO HOSPITAL UNIVERSITÁRIO HU-UFPI,Pesquisa Acadêmica,Sim,Transversal,Ciências Sociais e Humanas e Aplicadas em Saúde,Não,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,CV-Genes Avaliação Do Impacto Do Componente Genético Como Fator De Risco Para Doença Cardiovascular Aterosclerótica Na População Brasileira,PESQUISA CLÍNICA,Sim,Caso-controle,Observacional/Epidemiológico,Sim,Não,Aguardando aprovação do CEP,Pendente,Pendente
HU-UFPI,DADOS LABORATORIAIS PARA OTIMIZAÇÃO DE INTELIGÊNCIA COMPUTACIONAL DE AUXÍLIO AO DIAGNÓSTICO DE TUBERCULOSE,Desenvolvimento tecnológico,Sim,Transversal,Observacional/Epidemiológico,Não,Não,Em ajuste pelo pesquisador,Pendente,Pendente
