Hospital Universitário (HU);Título do Projeto;Número do Projeto;Status do Projeto;Quem Fez;Quando Fez (Data/Hora);Duração;Status Onde Estava;Status O que Aconteceu
HU-UFPI;ANÁLISE COMPARATIVA DE PACIENTES CHAGÁSICOS E NÃO CHAGÁSICOS PORTADORES DE MARCA-PASSO CARDÍACO ARTIFICIAL EM HOSPITAL UNIVERSITÁRIO;922;Projeto aprovado;ANA LINA DE CARVALHO CUNHA SALES;19/07/2022 14:47:22;3 Hr(s) 12 Min 56 Seg;Aguardando avaliação da GEP;Projeto aprovado
HU-UFPI;AVALIAÇÃO DAS INFECÇÕES RELACIONADAS A ASSISTÊNCIA À SAÚDE EM UNIDADE DE TERAPIA INTENSIVA ANTES E DURANTE A PANDEMIA POR COVID-19;935;Projeto inativo;Administrador do Sistema;24/08/2021 12:23:32;;Em cadastramento;Projeto inativo
HU-UFPI;AVALIAÇÃO DAS INFECÇÕES RELACIONADAS A ASSISTÊNCIA À SAÚDE EM UNIDADE DE TERAPIA INTENSIVA ANTES E DURANTE A PANDEMIA POR COVID-19;936;Aguardando aprovação do CEP;JOSE MARIA CORREIA LIMA E SILVA;17/10/2023 10:36:27;24 Dia(s) 23 Hr(s) 35 Min 56 Seg;Carta de anuência assinada;Solicitado documento de aprovação do CEP
HU-UFPI;AVALIAÇÃO CLÍNICA DE BOCHECHOS COM FRAÇÕES HIDROALCÓOLICOS DE ROMÃ (PUNICA GRANATUM L) PARA SAÚDE PERIODONTAL E RELAÇÕES ESTOMACAIS EM MULHERES ATENDIDAS NO HOSPITAL UNIVERSITÁRIO EM TERESINA-P;943;Aguardando aprovação do CEP;ANA LINA DE CARVALHO CUNHA SALES;07/04/2022 13:38;5 Dia(s) 30 Min 22 Seg;Carta de anuência assinada;Solicitado documento de aprovação do CEP
HU-UFPI;AVALIAÇÃO DA QUALIDADE DE VIDA EM PACIENTES COM DIAGNÓSTICO DE ALOPECIA AREATA;958;Em ajuste pelo pesquisador;GINIVALDO VICTOR RIBEIRO DO NASCIMENTO;11/12/2021 15:07;3 Hr(s) 57 Min 54 Seg;Em análise pela GEP;Solicitado ajustes
HU-UFPI;AVALIAÇÃO DA PRÁTICA DE RASTREIO DE CÂNCER COLORRETAL ENTRE DOCENTES DO CENTRO DE CIÊNCIAS DA SAÚDE - CCS / UFPI;1063;Projeto inativo;Administrador do Sistema;10/07/2021 16:12;;Em ajuste para autorização do setor responsável;Projeto inativo
HU-UFPI;A IDENTIFICAÇÃO DAS PRINCIPAIS BARREIRAS À MOBILIZAÇÃO PRECOCE PERCEBIDAS PELA EQUIPE MULTIPROFISSIONAL DE UMA UNIDADE DE TERAPIA INTENSIVA (UTI) EM UM HOSPITAL UNIVERSITÁRIO;1113;Projeto aprovado;ANA LINA DE CARVALHO CUNHA SALES;17/08/2022 11:21:07;2 Dia(s) 23 Hr(s) 23 Min 7 Seg;Aguardando avaliação da GEP;Projeto aprovado
HU-UFPI;Efeitos de treinamento de habilidades socioafetivas no trabalho colaborativo em equipes interprofissionais de saúde.;1135;Projeto aprovado;GINIVALDO VICTOR RIBEIRO DO NASCIMENTO;28/04/2022 16:54:27;7 Hr(s) 8 Min 24 Seg;Aguardando avaliação da GEP;Projeto aprovado
HU-UFPI;AVALIAÇÃO DOS ACHADOS RADIOGRÁFICOS EM RADIOGRAFIAS PANORÂMICAS DOS MAXILARES REALIZADAS NO HOSPITAL UNIVERSITÁRIO - UFPI;1148;Aguardando aprovação do CEP;CARLOS EDUARDO BATISTA DE LIMA;19/11/2021 11:59:14;1 Dia(s) 20 Hr(s) 29 Min 5 Seg;Carta de anuência assinada;Solicitado documento de aprovação do CEP
HU-UFPI;ACHADOS DE IMAGEM NA TOMOGRAFIA COMPUTADORIZADA DE TÓRAX EM PACIENTES COM COVID-19 E CORRELAÇÃO COM DESFECHO CLÍNICO;1183;Projeto aprovado;GINIVALDO VICTOR RIBEIRO DO NASCIMENTO;02/10/2022 15:59;23 Hr(s) 37 Min 24 Seg;Aguardando avaliação da GEP;Projeto aprovado
HU-UFPI;LEVANTAMENTO EPIDEMIOLÓGICO DOS CARCINOMAS ORAIS DIAGNOSTICADOS NO SETOR DE CABEÇA E PESCOÇO DO HOSPITAL UNIVERSITÁRIO – UFPI;1233;Aguardando aprovação do CEP;CARLOS EDUARDO BATISTA DE LIMA;19/11/2021 11:59:27;1 Dia(s) 20 Hr(s) 29 Min 32 Seg;Carta de anuência assinada;Solicitado documento de aprovação do CEP
HU-UFPI;VALOR PROGNÓSTICO DA TOMOGRAFIA COMPUTADORIZADA DO TÓRAX NA AVALIAÇÃO PROGNÓSTICA DE PACIENTES INTERNADOS COM COVID-19 EM UM HOSPITAL DE ALTA COMPLEXIDADE NO NORDESTE DO BRASIL;1278;Aguardando aprovação do CEP;GINIVALDO VICTOR RIBEIRO DO NASCIMENTO;25/01/2022 12:40:31;1 Dia(s) 1 Hr(s) 37 Min 36 Seg;Carta de anuência assinada;Solicitado documento de aprovação do CEP
HU-UFPI;DIGITALIZAÇÃO DOS SERVIÇOS PÚBLICOS, AMBIDESTRIA E GOVERNANÇA PÚBLICA: EVIDÊNCIAS NO HOSPITAL UNIVERSITÁRIO FEDERAL DO PIAUÍ;1377;Projeto inativo;Administrador do Sistema;26/10/2021 17:15:49;;Em cadastramento;Projeto inativo
HU-UFPI;DIGITALIZAÇÃO DOS SERVIÇOS PÚBLICOS, AMBIDESTRIA E GOVERNANÇA PÚBLICA: EVIDÊNCIAS NO HOSPITAL UNIVERSITÁRIO FEDERAL DO PIAUÍ;1383;Aguardando aprovação do CEP;CARLOS EDUARDO BATISTA DE LIMA;19/11/2021 11:58:51;16 Hr(s) 30 Min 54 Seg;Carta de anuência assinada;Solicitado documento de aprovação do CEP
HU-UFPI;DOENÇA ATEROSCLERÓTICA CORONARIANA: PAPEL DO COLESTEROL NÃO-HDL;1386;Projeto inativo;Administrador do Sistema;27/10/2021 13:52:52;;Em cadastramento;Projeto inativo
HU-UFPI;Determinantes da Infertilidade entre casais inférteis em hospital de ensino;1426;Projeto aprovado;JOSE MARIA CORREIA LIMA E SILVA;30/10/2023 08:17:54;10 Hr(s) 20 Min 8 Seg;Aguardando avaliação da GEP;Projeto aprovado
HU-UFPI;Análise de dimensões antropomórficas não usuais em pacientes com síndrome metabólica do serviço de endocrinologia em Hospital Universitário;1440;Em cadastramento;;;;;
HU-UFPI;Cuidado de Enfermagem na deiscência de ferida operatória em esternotomia após cirurgia cardíaca: Projeto de Relato de Caso;1478;Projeto aprovado;ANA LINA DE CARVALHO CUNHA SALES;28/12/2022 10:23:23;2 Dia(s) 2 Hr(s) 54 Min 8 Seg;Aguardando avaliação da GEP;Projeto aprovado
HU-UFPI;DOENÇA ATEROSCLERÓTICA CORONARIANA: PAPEL DO COLESTEROL NÃO-HDL;1496;Projeto aprovado;GINIVALDO VICTOR RIBEIRO DO NASCIMENTO;29/03/2022 11:11:11;6 Dia(s) 23 Hr(s) 30 Min 37 Seg;Aguardando avaliação da GEP;Projeto aprovado
HU-UFPI;ANSIEDADE, DEPRESSÃO E ESTRESSE EM PROFISSIONAIS DOS NÚCLEOS INTERNOS DE REGULAÇÃO NO CONTEXTO DA PANDEMIA POR COVID-19;1499;Projeto aprovado;JOSE MARIA CORREIA LIMA E SILVA;05/06/2024 08:40;22 Hr(s) 14 Min 52 Seg;Aguardando avaliação da GEP;Projeto aprovado
HU-UFPI;SOFRIMENTO MENTAL ENTRE PROFISSIONAIS DE SAÚDE NO COMBATE A PANDEMIA DA COVID-19: PREVALÊNCIA E ESTRATÉGIAS EDUCATIVAS;1501;Projeto aprovado;JOSE MARIA CORREIA LIMA E SILVA;05/06/2024 08:39;22 Hr(s) 10 Min 7 Seg;Aguardando avaliação da GEP;Projeto aprovado
HU-UFPI;QUALIDADE DO SONO E CONSUMO DE PSICOTRÓPICOS POR TRABALHADORES DA SAÚDE DA LINHA DE FRENTE NO COMBATE À COVID-19;1502;Projeto aprovado;JOSE MARIA CORREIA LIMA E SILVA;05/06/2024 08:39;21 Hr(s) 55 Min 27 Seg;Aguardando avaliação da GEP;Projeto aprovado
HU-UFPI;AVALIAÇÃO DOS PROTOCOLOS DE REUTILIZAÇÃO E USO PROLONGADO DE MÁSCARAS N95/PFF2 ADOTADOS EM SERVIÇOS DE SAÚDE;1543;Projeto inativo;Administrador do Sistema;21/12/2021 16:59:30;;Em ajuste pelo pesquisador;Projeto inativo
HU-UFPI;Acurácia do Exame Intra Operatório de Congelação - Uma comparação retrospectiva com o exame de parafina.;1601;Em ajuste pelo pesquisador;GINIVALDO VICTOR RIBEIRO DO NASCIMENTO;21/12/2021 16:45:08;7 Dia(s) 23 Hr(s) 48 Min 13 Seg;Em análise pela GEP;Solicitado ajustes
HU-UFPI;AVALIAÇÃO DA SEDOANALGESIA PELO MONITORAMENTO DO ÍNDICE BISPECTRAL EM UMA UNIDADE DE TERAPIA INTENSIVA - COVID;1612;Projeto aprovado;ANA LINA DE CARVALHO CUNHA SALES;27/01/2023 10:24:34;10 Hr(s) 52 Min 11 Seg;Aguardando avaliação da GEP;Projeto aprovado
HU-UFPI;Manifestações ungueais de doenças sistêmicas em pacientes internados no HU/UFPI;1715;Projeto inativo;Administrador do Sistema;14/01/2022 10:37:59;;Em ajuste pelo pesquisador;Projeto inativo
HU-UFPI;DISTÚRBIOS DO SONO EM PACIENTES ATENDIDOS NO AMBULATÓRIO DE CUIDADOS PALIATIVOS;1779;Projeto aprovado;ANA LINA DE CARVALHO CUNHA SALES;17/08/2022 11:20:50;2 Dia(s) 23 Hr(s) 20 Min 42 Seg;Aguardando avaliação da GEP;Projeto aprovado
HU-UFPI;PERFIL CLÍNICO E SOCIODEMOGRÁFICO DE PACIENTES COM CULTURAS POSITIVAS PARA MICRORGANISMOS MULTIRRESISTENTES INTERNADOS EM UM HOSPITAL UNIVERSITÁRIO;1809;Projeto inativo;Administrador do Sistema;31/01/2022 16:20:14;;Em ajuste pelo pesquisador;Projeto inativo
HU-UFPI;ANÁLISE DO PERFIL DE PACIENTES TRAQUEOSTOMIZADOS E DO PROCESSO DE DECANULAÇÃO DE UM HOSPITAL PÚBLICO;1814;Projeto aprovado;ANA LINA DE CARVALHO CUNHA SALES;17/08/2022 11:20:15;2 Dia(s) 23 Hr(s) 13 Min 52 Seg;Aguardando avaliação da GEP;Projeto aprovado
HU-UFPI;"""ANÁLISE DA ADESÃO AO MANUAL DE ANTIBIOTICOPROFILAXIA CIRÚRGICA NA PREVENÇÃO DE INFECÇÃO EM SÍTIO CIRÚRGICO EM UM HOSPITAL UNIVERSITÁRIO""";1822;Projeto aprovado;ANA LINA DE CARVALHO CUNHA SALES;14/07/2022 10:54:14;4 Min 7 Seg;Aguardando avaliação da GEP;Projeto aprovado
HU-UFPI;xxxx;1849;Projeto inativo;Administrador do Sistema;01/07/2022 15:30;;Em cadastramento;Projeto inativo
HU-UFPI;AVALIAÇÃO DO NÍVEL DE FUNCIONALIDADE DE PACIENTES PÓS COVID-19 ATRAVÉS DO TESTE DE CAMINHADA DE 6 MINUTOS.;1892;Projeto inativo;Administrador do Sistema;31/01/2022 17:16:37;;Em ajuste pelo pesquisador;Projeto inativo
HU-UFPI;PERFIL DE MULHERES EM TRATAMENTO DO CÂNCER DE MAMA ATENDIDAS EM UM HOSPITAL DO PIAUÍ NO PRIMEIRO ANO DE PANDEMIA;1893;Projeto inativo;Administrador do Sistema;18/01/2022 12:52:03;;Em ajuste pelo pesquisador;Projeto inativo
HU-UFPI;PERFIL DE MULHERES EM TRATAMENTO DO CÂNCER DE MAMA ATENDIDAS EM UM HOSPITAL DO PIAUÍ NO PRIMEIRO ANO DE PANDEMIA;1915;Projeto aprovado;ANA LINA DE CARVALHO CUNHA SALES;24/01/2023 20:42:19;5 Hr(s) 5 Min 30 Seg;Aguardando avaliação da GEP;Projeto aprovado
HU-UFPI;ANÁLISE DA ADESÃO AO MANUAL DE ANTIBIOTICOPROFILAXIA CIRÚRGICA NA PREVENÇÃO DE INFECÇÃO EM SÍTIO CIRÚRGICO EM UM HOSPITAL UNIVERSITÁRIO;1934;Projeto aprovado;ANA LINA DE CARVALHO CUNHA SALES;21/07/2022 09:01:43;15 Hr(s) 29 Min;Aguardando avaliação da GEP;Projeto aprovado
HU-UFPI;Manifestações ungueais de doenças sistêmicas em pacientes internados no HU/UFPI;1947;Aguardando aprovação do CEP;GINIVALDO VICTOR RIBEIRO DO NASCIMENTO;29/03/2022 11:14:11;8 Dia(s) 2 Min 2 Seg;Carta de anuência assinada;Solicitado documento de aprovação do CEP
HU-UFPI;AVALIAÇÃO DA FUNÇÃO PULMONAR DE INDIVÍDUOS EM PÓS-OPERATÓRIO DE ARTRODESE DA COLUNA SUBMETIDOS À TERAPIA COM PRESSÃO POSITIVA;1969;Aguardando aprovação do CEP;GINIVALDO VICTOR RIBEIRO DO NASCIMENTO;26/04/2022 15:20:44;1 Dia(s) 2 Hr(s) 8 Min 4 Seg;Carta de anuência assinada;Solicitado documento de aprovação do CEP
HU-UFPI;AVALIAÇÃO DO NÍVEL DE FUNCIONALIDADE DE PACIENTES PÓS COVID-19 ATRAVÉS DO TESTE DE CAMINHADA DE 6 MINUTOS.;1972;Projeto inativo;Administrador do Sistema;02/10/2022 16:11;;Em ajuste pelo pesquisador;Projeto inativo
HU-UFPI;EVENTOS CARDIOVASCULARES EM PACIENTES INTERNADOS COM COVID-19 EM UNIDADE DE TERAPIA INTENSIVA: UM ESTUDO OBSERVACIONAL RETROSPECTIVO;1973;Projeto aprovado;ANA LINA DE CARVALHO CUNHA SALES;17/08/2022 11:20:32;2 Dia(s) 23 Hr(s) 16 Min 28 Seg;Aguardando avaliação da GEP;Projeto aprovado
HU-UFPI;EVENTOS CARDIOVASCULARES EM PACIENTES INTERNADOS COM COVID-19 EM UNIDADE DE TERAPIA INTENSIVA: UM ESTUDO OBSERVACIONAL RETROSPECTIVO;1987;Em cadastramento;;;;;
HU-UFPI;EXPRESSÕES DA QUESTÃO SOCIAL NA SAÚDE E O TRABALHO DO(A) ASSISTENTE SOCIAL NO ÂMBITO HOSPITALAR EM TERESINA-PI NA PANDEMIA DA COVID-19;2133;Em cadastramento;;;;;
HU-UFPI;ACOMPANHAMENTO DE PACIENTES COM ARTRITE REUMATOIDE EM TRATAMENTO COM TOCILIZUMABE;2141;Aguardando aprovação do CEP;ANA LINA DE CARVALHO CUNHA SALES;07/04/2022 13:40;14 Dia(s) 19 Hr(s) 28 Min 9 Seg;Carta de anuência assinada;Solicitado documento de aprovação do CEP
HU-UFPI;DESENVOLVIMENTO DE UM SOFTWARE PARA GESTÃO DE FILA CIRURGICA ELETIVA EM HOSPITAL UNIVERSITÁRIO DO NORDESTE DESENVOLVIMENTO DE UM SOFTWARE PARA GESTÃO DE FILA CIRURGICA ELETIVA EM UM HOSPITAL UNIVERSITÁRIO DO NORDESTE;2144;Projeto aprovado;GINIVALDO VICTOR RIBEIRO DO NASCIMENTO;05/05/2022 14:20;1 Dia(s) 15 Hr(s) 44 Min 9 Seg;Aguardando avaliação da GEP;Projeto aprovado
HU-UFPI;“PERFIL DE PACIENTES ATENDIDOS EM AMBULATÓRIO DE GERIATRIA DE UM HOSPITAL UNIVERSITÁRIO”;2172;Aguardando aprovação do CEP;GINIVALDO VICTOR RIBEIRO DO NASCIMENTO;26/04/2022 15:20:04;1 Dia(s) 2 Hr(s) 7 Min 5 Seg;Carta de anuência assinada;Solicitado documento de aprovação do CEP
HU-UFPI;ANÁLISE DE DIMENSÕES ANTROPOMÓRFICAS NÃO USUAIS EM PACIENTES COM SÍNDROME METABÓLICA DO SERVIÇO DE ENDOCRINOLOGIA EM HOSPITAL UNIVERSITÁRIO;2194;Projeto aprovado;JOSE MARIA CORREIA LIMA E SILVA;04/04/2023 08:26;11 Hr(s) 11 Min 17 Seg;Aguardando avaliação da GEP;Projeto aprovado
HU-UFPI;“EXPRESSÕES DA QUESTÃO SOCIAL NA SAÚDE E O TRABALHO DO(A) ASSISTENTE SOCIAL NO ÂMBITO HOSPITALAR NA PANDEMIA DA COVID-19 EM TERESINA -PI”;2215;Aguardando aprovação do CEP;GINIVALDO VICTOR RIBEIRO DO NASCIMENTO;29/03/2022 11:12:53;4 Dia(s) 19 Hr(s) 12 Min 26 Seg;Carta de anuência assinada;Solicitado documento de aprovação do CEP
HU-UFPI;Prevalência das lesões orais em pacientes do Hospital Universitário (HU) da Universidade Federal do Piauí;2293;Aguardando aprovação do CEP;ANA LINA DE CARVALHO CUNHA SALES;07/04/2022 13:33;12 Dia(s) 33 Min;Carta de anuência assinada;Solicitado documento de aprovação do CEP
HU-UFPI;TRATAMENTO PROFILÁTICO DE MIGRÂNEA EM PACIENTES DO AMBULATÓRIO DE NEUROLOGIA DO HOSPITAL UNIVERSITÁRIO DA UNIVERSIDADE FEDERAL DO PIAUÍ (HU – UFPI);2294;Aguardando aprovação do CEP;LIA CRUZ VAZ DA COSTA DAMÁSIO;18/05/2022 09:37:11;1 Dia(s) 36 Min 5 Seg;Carta de anuência assinada;Solicitado documento de aprovação do CEP
HU-UFPI;DESENVOLVIMENTO E VALIDAÇÃO DE BUNDLE PARA CONTROLE DE PROBLEMAS RELACIONADOS A MEDICAMENTOS ASSOCIADOS À ANTIBIOTICOTERAPIA EM UM HOSPITAL UNIVERSITÁRIO;2314;Aguardando aprovação do CEP;ANA LINA DE CARVALHO CUNHA SALES;25/07/2022 14:35:35;1 Hr(s) 34 Min 59 Seg;Carta de anuência assinada;Solicitado documento de aprovação do CEP
HU-UFPI;GAMETERAPIA PARA AUXÍLIO EM TRATAMENTOS DE REABILITAÇÃO DOS MÚSCULOS DA MASTIGAÇÃO E MÍMICA FACIAL.;2343;Projeto inativo;Administrador do Sistema;04/06/2022 22:36;1 Dia(s) 11 Hr(s) 16 Min 2 Seg;Em ajuste pelo pesquisador;Projeto inativo
HU-UFPI;IMPLANTAÇÃO DE TERAPIA SEQUENCIAL ORAL DE ANTIMICROBIANOS EM HOSPITAL UNIVERSITÁRIO;2364;Aguardando aprovação do CEP;ANA LINA DE CARVALHO CUNHA SALES;19/07/2022 09:52:34;4 Dia(s) 22 Hr(s) 51 Min 55 Seg;Carta de anuência assinada;Solicitado documento de aprovação do CEP
HU-UFPI;PERFIL CLÍNICO-EPIDEMIOLÓGICO DOS PACIENTES COM TROMBOCITOPENIA IMUNE PRIMÁRIA TRATADOS NO HOSPITAL UNIVERSITÁRIO DO PIAUÍ;2405;Projeto aprovado;ANA LINA DE CARVALHO CUNHA SALES;07/11/2022 13:09;2 Dia(s) 4 Hr(s) 28 Min 45 Seg;Aguardando avaliação da GEP;Projeto aprovado
HU-UFPI;PERFIL DAS BIÓPSIA RENAIS DOS PORTADORES DE NEFRITE LÚPICA E CORRELAÇÕES CLÍNICO-EPIDEMIOLÓGICAS;2409;Aguardando aprovação do CEP;GINIVALDO VICTOR RIBEIRO DO NASCIMENTO;26/04/2022 15:20:58;1 Dia(s) 2 Hr(s) 8 Min 19 Seg;Carta de anuência assinada;Solicitado documento de aprovação do CEP
HU-UFPI;PERFIL CLÍNICO E EPIDEMIOLÓGICOS DOS PACIENTES INTERNADOS NA ENFERMARIA DE DERMATOLOGIA DO HOSPITAL UNIVERSITÁRIO DE TERESINA NO PERÍODO DE 2015 A 2021;2475;Em cadastramento;;;;;
