hu;titulo do projeto;classificacao institucional da pesquisa;projeto envolve seres humanos;delineamento do estudo;tipo de estudo;e estudo multicentrico;e projeto com co participacao;estado do projeto;tempo decorrido entre status 1;tempo decorrido entre status 2
HU-UFPI;rastreio da doença renal crônica em indivíduos adultos que aguardavam consulta na recepção do ambulatório geral do huufpi: análise comparativa entre métodos capilar e laboratorial da dosagem da creatinina sérica e impacto das comorbidades.;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Carta de anuência assinada;Pendente;Pendente
HU-UFPI;questionário de adesão ao tratamento pré-bariátrica: desenvolvimento e análises psicométricas;Pesquisa Acadêmica;True;Transversal;Psicométrico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;proposta de interface de interação para assistente virtual ginecológica desenvolvimento de chat e avatar para saúde da mulher no hospital universitário da universidade federal do piauí;Pesquisa Acadêmica;True;Desenvolvimento de interface de assistente virtual;Desenvolvimento/Avaliação;False;False;Em ajuste para autorização do setor responsável;Pendente;Pendente
HU-UFPI;prevalência e fatores associados a alterações citológicas anais em pacientes submetidos à exérese da zona de transformação (ezt).;Pesquisa Acadêmica;True;Transversal;Desenvolvimento/Avaliação;False;False;Projeto aprovado;95;133
HU-UFPI;prevalência de sintomas auto-referidos de disfuncōes temporomandibulares e fatores associados ao período de residência uniprofissional e médica no hu/ufpi;ESTUDO TRANSVERSAL;True;Transversal;Observacional/Epidemiológico;False;False;Em ajuste pelo pesquisador;Pendente;Pendente
HU-UFPI;análise biomecânica do quadril humano saudável durante acomodação em redes de descanso para aplicação no contexto pós-operatório de artroplastia de quadril;Pesquisa Acadêmica;True;Experimental;Experimental não-clínico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;analgesia pré-operatória versus analgesia pós -operatória com infiltração de anastésico local em incisões cirúrgicas de colecistectomia videolaparoscópica;Pesquisa Acadêmica;True;ensaio clinico;Experimental/Clínico;True;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;alterações cardiovasculares em pacientes com câncer de mama submetidos a tratamento com antracíclicos ou trastuzumabe em hospital terciário de teresina-pi;Pesquisa Acadêmica;True;Coorte;Observacional/Epidemiológico;False;False;Projeto aprovado;15;29
HU-UFPI;a identificação das principais barreiras à mobilização precoce percebidas pela equipe multiprofissional de uma unidade de terapia intensiva (uti) em um hospital universitário;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Projeto aprovado;225;332
HU-UFPI;acompanhamento de pacientes com artrite reumatoide em tratamento com tocilizumabe;Desenvolvimento tecnológico;True;Coorte;Observacional/Epidemiológico;True;True;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;achados de imagem na tomografia computadorizada de tórax em pacientes com covid-19 e correlação com desfecho clínico;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Projeto aprovado;98;136
HU-UFPI;acesso à reabilitação após acidente vascular cerebral no brasil: estudo multicêntrico, retrospectivo;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;True;True;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;.;Pesquisa Acadêmica;True;a;Ciências Sociais e Humanas e Aplicadas em Saúde;False;False;Projeto inativo;Pendente;Pendente
HU-UFPI;percepção do cuidado de enfermagem advinda da inserção de especialistas no mercado de trabalho;Pesquisa Acadêmica;True;Levantamento de campo;Pesquisa descritiva-exploratória;False;False;Em ajuste para autorização do setor responsável;Pendente;Pendente
HU-UFPI;o papel das cirurgias paliativas no câncer biliopancreático no hospital universitário da universidade federal do piauí;Pesquisa Acadêmica;True;Transversal;Analítico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;o impacto da pandemia pelo coronavírus (covid-19) na saúde mental dos profissionais de saúde de um hospital de referência para covid 19;Pesquisa Acadêmica;True;Transversal;Ciências Sociais e Humanas e Aplicadas em Saúde;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;levantamento epidemiológico do uso de sistemas de fixação pela cirurgia e traumatologia buco-maxilo-faciais no hospital universitário – ufpi;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;levantamento epidemiológico dos carcinomas orais diagnosticados no setor de cabeça e pescoço do hospital universitário – ufpi;Levantamento epidemiológico de laudos histopatológicos;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;análise do perfil de pacientes traqueostomizados e do processo de decanulação de um hospital público;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Projeto aprovado;141;224
HU-UFPI;análise de dados de gestão de hospitais universitários e economia da saúde no brasil;Desenvolvimento tecnológico;True;Estudo de caso;As informações solicitadas serão relacionadas à cu;False;False;Em ajuste pelo pesquisador;Pendente;Pendente
HU-UFPI;análise da sobrevida de pacientes submetidos à cirurgia de whipple em hospital universitário do piauí;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;análise da sobrevida de pacientes submetidos à cirurgia de hepatectomia em um hospital universitário do piauí;Pesquisa Acadêmica;True;Coorte;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;análise das alterações clínicas e histopatológicas do refluxo gastroesofágico pós-gastrectomia vertical;Pesquisa Acadêmica;True;Prospectivo observacional;Observacional/Epidemiológico;False;False;Em cadastramento;Pendente;Pendente
HU-UFPI;análise da microbiologia da bile de pacientes submetidos à desobstrução cirúrgica das vias biliares no hospital universitário da universidade federal do piauí;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;análise da indicação de transfusões de hemácias em um hospital da rede pública em teresina-pi;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Em ajuste pelo pesquisador;Pendente;Pendente
HU-UFPI;análise da adesão ao manual de antibioticoprofilaxia cirúrgica na prevenção de infecção em sítio cirúrgico em um hospital universitário;Pesquisa Acadêmica;True;Coorte;Observacional/Epidemiológico;False;False;Projeto aprovado;114;177
HU-UFPI;"""análise da adesão ao manual de antibioticoprofilaxia cirúrgica na prevenção de infecção em sítio cirúrgico em um hospital universitário""";Pesquisa Acadêmica;True;Coorte;Observacional/Epidemiológico;False;False;Projeto aprovado;0;191
HU-UFPI;análise comparativa de acinesia e analgesia pós operatória de bloqueio oftálmico em pacientes submetidos a cirurgia de catarata;Pesquisa Acadêmica;True;Ensaio clínico randomizado;Experimental/Clínico;False;False;Em ajuste pelo pesquisador;Pendente;Pendente
HU-UFPI;avaliação da qualidade em colonoscopia e taxa de detecção de adenomas em hospital universitário;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;avaliação da qualidade de vida e prognóstico dos pacientes com angina pectoris tratados de acordo com as orientações de cardiologistas ambulatoriais da a.r.c.a. (associações regionais de cardiologistas ambulatoriais) um registro multicêntrico, prospectivo e observacional.;Pesquisa Clínica Multicêntrica;True;Multicêntrico, prospectivo e observacional;Pesquisa clínica;True;True;Projeto aprovado;76;111
HU-UFPI;avaliação da implantação do hospital-dia no manejo clínico de pacientes com nefrite lúpica em pulsoterapia no hospital universitário da ufpi;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;avaliação da função pulmonar de indivíduos em pós-operatório de artrodese da coluna submetidos à terapia com pressão positiva;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;True;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;avaliação da adequação da terapia nutricional enteral e do estado nutricional em uma unidade de terapia intensiva;Pesquisa Acadêmica;True;Transversal;Desenvolvimento/Avaliação;False;False;Projeto inativo;Pendente;Pendente
HU-UFPI;avaliação da acurácia na punção ecoendoscópica para o diagnóstico das lesões sólidas pancreáticas em hospital universitário;Pesquisa Acadêmica;True;Retrospectivo;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;avaliação clínica de bochechos com frações hidroalcóolicos de romã (punica granatum l) para saúde periodontal e relações estomacais em mulheres atendidas no hospital universitário em teresina-p;Pesquisa Acadêmica;True;Transversal;Experimental/Clínico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;atuação do psicólogo hospitalar junto ao paciente acometido por traumatismo raquimedular: proposta de protocolo de assistência psicológica em uti;Pesquisa Acadêmica;True;Transversal;Ciências Sociais e Humanas e Aplicadas em Saúde;False;False;Projeto inativo;Pendente;Pendente
HU-UFPI;associação entre as comorbidades e o tempo de internação dos casos de covid-19 em um hospital universitário do nordeste;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Projeto inativo;Pendente;Pendente
HU-UFPI;ansiedade, depressão e risco de suicídio entre trabalhadores da saúde em tempos de pandemia da covid-19.;Pesquisa de Mestrado;True;Transversal;Observacional/Epidemiológico;False;False;Projeto aprovado;49;58
HU-UFPI;ansiedade, depressão e risco de suicídio entre trabalhadores da saúde em tempos de pandemia da covid-19;Pesquisa de Mestrado;True;Transversal;Observacional/Epidemiológico;False;False;Projeto inativo;Pendente;Pendente
HU-UFPI;análise do perfil e desfechos clínicos em pacientes submetidos a cirurgia cardíaca em um hospital universitário;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;avaliação dos fatores de risco para complicações pós-operatórias em pacientes com doença de crohn submetidos a cirurgia abdominal em um hospital universitário do piauí;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Projeto inativo;Pendente;Pendente
HU-UFPI;avaliação do nível de funcionalidade de pacientes pós covid-19 através do teste de caminhada de 6 minutos.;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Projeto inativo;Pendente;Pendente
HU-UFPI;avaliação do estilo de vida dos médicos residentes do hospital universitário da universidade federal do piauí;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;avaliação do conhecimento de médicos não oftalmologistas sobre o processo de doação de córnea;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Projeto inativo;Pendente;Pendente
HU-UFPI;avaliação de síndrome de fragilidade em idosos atendidos no ambulatório de cuidados paliativos no hospital universitário da ufpi;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;True;False;Projeto inativo;Pendente;Pendente
HU-UFPI;avaliação de riscos para o desenvolvimento de lesões decorrentes do posicionamento cirúrgico em diferentes contextos hospitalares;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;True;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;avaliação de margens cirúrgicas de tumores de pele não melanoma em um hospital universitário;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;avaliação de arritmias cardíacas e distúrbios de condução cardíacos através da utilização do smartwatch (apple watch®) em pacientes com doença cardiovascular;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Projeto aprovado;15;29
HU-UFPI;avaliação das alterações dos hormônios tireoidianos em pacientes com sangramento uterino anormal (sua) no hospital universitário da universidade federal do piauí campus teresina uterino anormal (sua) no hospital universitário da universidade federal do piauí.;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando autorização do setor responsável;Pendente;Pendente
HU-UFPI;avaliação da resposta ao tratamento de pacientes com nefrite lúpica proliferativa em relação ao intervalo de administração de ciclofosfamida em um hospital terciário;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Projeto aprovado;175;210
HU-UFPI;avaliação da reprodutibilidade e concordância intra e interobservadores da classificação ideal para fraturas de extremidade distal de rádio;Pesquisa Acadêmica;True;Analítico;Desenvolvimento/Avaliação;False;False;Projeto aprovado;33;62
HU-UFPI;cateter central de inserção periférica: análise do uso em pacientes adultos hospitalizados;Pesquisa Acadêmica;True;Transversal;Transversal analítico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;casa da tia;Desenvolvimento tecnológico;True;Transversal;Observacional/Epidemiológico;False;False;Projeto inativo;Pendente;Pendente
HU-UFPI;caracterização das reações transfusionais imediatas no hospital universitário do piauí;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Em cadastramento;Pendente;Pendente
HU-UFPI;características pessoais e profissionais das mulheres na cirurgia e traumatologia bucomaxilofacial;Pesquisa Acadêmica;True;Transversal;Ciências Sociais e Humanas e Aplicadas em Saúde;False;False;Em ajuste para autorização do setor responsável;Pendente;Pendente
HU-UFPI;características clínicas, coinfecção e desfecho de pacientes com a covid-19;Pesquisa Acadêmica;True;Caso-controle;Observacional/Epidemiológico;False;False;Em ajuste pelo pesquisador;Pendente;Pendente
HU-UFPI;capacidade funcional de mulheres em quimioterapia paliativa por neoplasia mamária em hospital universitário;Desenvolvimento tecnológico;True;Transversal;Observacional/Epidemiológico;False;False;Projeto inativo;Pendente;Pendente
HU-UFPI;câncer de pâncreas: principais achados tomográficos, subtipos histológicos e desfechos clínicos;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Projeto inativo;Pendente;Pendente
HU-UFPI;busca ativa de reações adversas a medicamentos (ram) em um hospital universitário;Pesquisa Acadêmica;True;Estudo Longitudinal e Exploratório;Desenvolvimento/Avaliação;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;avaliação dos fatores prognósticos e análise de sobrevida dos pacientes com adenocarcinoma gástrico submetidos à gastrectomia no hospital universitário do piauí;Pesquisa Acadêmica;True;Coorte;coorte retrospectiva;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;prevalência de síndrome de burnout em psicólogos hospitalares e residentes de psicologia do hospital universitário-ufpi.;Pesquisa Acadêmica;True;Transversal;Ciências Sociais e Humanas e Aplicadas em Saúde;False;False;Em ajuste pelo pesquisador;Pendente;Pendente
HU-UFPI;prevalência de lesões atípicas de superfície ocular em histopatológico de pacientes submetidos a exérese de pterígio;Projeto de pesquisa para conclusão de residência medica;True;Transversal;Observacional/Epidemiológico;False;True;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;prevalência de infecções fúngicas em pacientes atendidos em um hospital de alta complexidade do piauí.;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Projeto aprovado;202;211
HU-UFPI;prevalência de arritmias e alterações eletrocardiográficas em pacientes com doença renal crônica dialítica;Pesquisa Acadêmica;True;Coorte;Observacional/Epidemiológico;False;True;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;predição de desfechos adversos graves em doenças inflamatórias intestinais utilizando inteligência artificial com registros do hospital universitário - ufpi;Desenvolvimento tecnológico;True;Transversal;Observacional/Epidemiológico;False;False;Projeto aprovado;121;144
HU-UFPI;porocarcinoma écrino altamente recidivante - um relato de caso;Relato de caso;True;Estudo de caso;Ciências Sociais e Humanas e Aplicadas em Saúde;False;False;Em ajuste pelo pesquisador;Pendente;Pendente
HU-UFPI;perfil terapêutico dos pacientes com esclerose múltipla atendidos no ambulatório de um hospital universitário;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;perfil dos profissionais de enfermagem da unidade de terapia intensiva colonizados ou não por staphylococcus aureus;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Projeto aprovado;40;86
HU-UFPI;perfil dos pareceres da enfermagem em estomaterapia de um hospital universitário do nordeste brasileiro;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;depressão, ansiedade e estresse em anestesiologistas durante a pandemia de covid-19 no brasil;Pesquisa Acadêmica;True;Transversal;Ciências Sociais e Humanas e Aplicadas em Saúde;True;True;Projeto aprovado;156;187
HU-UFPI;dados laboratoriais para otimização de inteligência computacional de auxílio ao diagnóstico de tuberculose;Desenvolvimento tecnológico;True;Transversal;Observacional/Epidemiológico;False;False;Em ajuste pelo pesquisador;Pendente;Pendente
HU-UFPI;cv-genes avaliação do impacto do componente genético como fator de risco para doença cardiovascular aterosclerótica na população brasileira;PESQUISA CLÍNICA;True;Caso-controle;Observacional/Epidemiológico;True;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;cuidados paliativos: perspectivas de pacientes internados no hospital universitário hu-ufpi;Pesquisa Acadêmica;True;Transversal;Ciências Sociais e Humanas e Aplicadas em Saúde;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;correlação radiológica e patológica de lesões pulmonares submetidas a biópsia;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;correlação entre testes sanguíneos e a etiologia maligna da obstrução de vias biliares extra-hepáticas;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;correlação entre histologia e citologia de nódulos de tireóide realizadas em um hospital universitário;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;correlação clínica e anatomopatológica dos pacientes com alopecia frontal fibrosante e liquen plano pilar: estudo de série de casos.;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;complicações pós-operatórias em pacientes submetidos a cirurgia bariátrica e fatores associados;Pesquisa Acadêmica;True;Descritivo retrospectivo;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;complicações dos pacientes com valvopatia aórtica importante submetidos à cirurgia de troca valvar em um hospital universitário;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;colangite esclerosante primária em pacientes com doenças inflamatórias intestinais no hospital universitário da universidade federal do piauí;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;classificação de bethesda das citologias por agulha fina da tireoide realizadas no hospital universitário da universidade federal do piauí (hu-ufpi) nos anos de 2019 e 2020.;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;entraves à terapia medicamentosa em ambulatório de saúde mental do estado do piauí;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;enfrentamento religioso/espiritual de familiares de pacientes internados em uma unidade de tratamento intensivo;Pesquisa Acadêmica;True;Transversal;Ciências Sociais e Humanas e Aplicadas em Saúde;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;efetividade de terapias alternativas para hanseníase em pacientes resistentes e ou com reações adversas ao tratamento padrão preconizado pelo ministério da saúde;Pesquisa Acadêmica;True;Retrospectivo;Ciências Sociais e Humanas e Aplicadas em Saúde;False;False;Em ajuste pelo pesquisador;Pendente;Pendente
HU-UFPI;efetividade de intervenção educativa para prevenção lesões por pressão com base nos indicadores de qualidade;Pesquisa Acadêmica;True;Transversal;quase experimental com comparação antes e depois;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;efeitos hemodinâmicos da administração de sulfato de magnésio na indução anestésica durante a laringoscopia e intubação orotraqueal;Pesquisa Acadêmica;True;Coorte;Experimental/Clínico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;efeitos da suplementação com probióticos sobre os parâmetros clínicos do trato gastrointestinal e qualidade de vida relacionada a constipação de pacientes com doença de parkinson;Pesquisa Acadêmica;True;Caso-controle;Experimental/Clínico;False;False;Projeto inativo;Pendente;Pendente
HU-UFPI;efeitos da laserterapia no controle da radiodermatite;Pesquisa Acadêmica;True;Coorte;Observacional/Epidemiológico;False;False;Em ajuste pelo pesquisador;Pendente;Pendente
HU-UFPI;dor na histeroscopia diagnóstica em mulheres com suspeita de doenças endometriais;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;doença aterosclerótica coronariana: papel do colesterol não-hdl;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Projeto aprovado;98;137
HU-UFPI;distúrbios do sono em pacientes atendidos no ambulatório de cuidados paliativos;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Projeto aprovado;180;222
HU-UFPI;desfechos pós-operatórios de doenças da aorta torácica em hospital de referência no estado do piauí;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;desfechos de pacientes com estomia submetidos a reconstrução de trânsito intestinal;Pesquisa Acadêmica;True;Trata-se de um estudo longitudinal analítico;Ciências Sociais e Humanas e Aplicadas em Saúde;True;False;Projeto inativo;Pendente;Pendente
HU-UFPI;desfecho de pacientes com colangite aguda no hospital universitário da universidade federal do piauí: um estudo de coorte;Pesquisa Acadêmica;True;Coorte;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;desenvolvimento e validação de bundle para controle de problemas relacionados a medicamentos associados à antibioticoterapia em um hospital universitário;Pesquisa Acadêmica;True;Transversal;Desenvolvimento/Avaliação;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;desenvolvimento de um software para gestão de fila cirurgica eletiva em hospital universitário do nordeste desenvolvimento de um software para gestão de fila cirurgica eletiva em um hospital universitário do nordeste;Desenvolvimento tecnológico;True;Pesquisa aplicada;Desenvolvimento/Avaliação;False;False;Projeto aprovado;55;78
HU-UFPI;eventos cardiovasculares em pacientes internados com covid-19 em unidade de terapia intensiva: um estudo observacional retrospectivo;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Projeto aprovado;141;197
HU-UFPI;estudo rosa dos ventos: diferenças regionais nas características clínicas e no tratamento da insuficiência cardíaca crônica no brasil.;Pesquisa Acadêmica;True;Coorte;Observacional/Epidemiológico;True;True;Projeto aprovado;16;118
HU-UFPI;estudo retrospectivo e prospectivo sobre as características epidemiológicas e clínicas de uma coorte de pacientes com doenças inflamatórias intestinais no hospital universitário da universidade federal do piauí.;estudo de coorte;True;Transversal;Observacional/Epidemiológico;False;False;Projeto aprovado;422;465
HU-UFPI;"estudo randomizado, duplo-cego, controlado por placebo, de grupos paralelos, multicêntrico para avaliar a eficácia e a segurança da terapia de indução subcutânea com guselcumabe em participantes com doença de crohn moderada a severamente ativa; cnto1959crd3004";Pesquisa Clínica Multicêntrica;True;Multicêntrico, prospectivo e randomizado.;Experimental/Clínico;True;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;estudo observacional brasileiro em crianças com ame 5q (sobre5): efetividade, segurança e análise econômica do uso do onasemnogene abeparvoveque (zolgensma®) com dados de mundo real.;Desenvolvimento tecnológico;True;Coorte;Ciências Sociais e Humanas e Aplicadas em Saúde;True;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;estudo multicêntrico epidemiológico - registro de pacientes com doença de crohn e retocolite ulcerativa no brasil;Desenvolvimento tecnológico;True;Transversal;Observacional/Epidemiológico;True;True;Projeto aprovado;29;42
HU-UFPI;estudo de vida real: tratamento das doenças inflamatórias intestinais com vedolizumabe;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;estudo de preditores precoces de cardiotoxicidade decorrente do tratamento do câncer de mama;Pesquisa Acadêmica;True;Coorte;Observacional/Epidemiológico;False;True;Em ajuste pelo pesquisador;Pendente;Pendente
HU-UFPI;estudo de coorte para avaliação de desfechos após cirurgias nos países da américa latina;estudo de coorte;True;Coorte;Experimental/Clínico;True;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;estudo comparativo entre a mistura anestésica lidocaína 1% e bupivacaína 0,25% com bupivacaína 0,5% pura para o bloqueio oftálmico peribulbar em pacientes que serão submetidos a cirurgia de catarata;Pesquisa Acadêmica;True;ENSAIO CLÍNICO;Experimental/Clínico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;estudo clínico-epidemiológico de fibromialgia no ambulatório de reumatologia de um hospital universitário no piauí;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;False;False;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;“estimulação do sistema his-purkinje versus estimulação biventricular na ressincronização cardíaca em pacientes com insuficiência cardíaca congestiva”;Pesquisa Acadêmica;True;Coorte;Experimental/Clínico;True;True;Aguardando aprovação do CEP;Pendente;Pendente
HU-UFPI;estimulação cardíaca e estilo de vida;Pesquisa Acadêmica;True;Transversal;Observacional/Epidemiológico;True;False;Aguardando aprovação do CEP;Pendente;Pendente
